stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,28.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,90.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.89,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.97,0,0,0,0,10.26,0,0,0,0,3.73,0,0,0,0,78.43,0,0,0,17.79,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.88,0,0,33.79,0,0,0,0,13.39,0,0,0,0,0,0,6.05,0,0,39.77,2.02,0,0,0,0,4.34,1.05,0,0.84,10.96,0,0,0,0.95
 24-34,0,0,2.37,0,0,33.68,0,0,0,0,6.16,0,0.91,0,0,0,1.73,1.93,0.76,0,20.27,0,2.82,1.16,0,0,8.49,2.06,1.16,0,4.09,0,0,0,1.93
 36-46,0,0,0.76,0,0,6.91,0,0,3.35,0,0.59,2.39,0,0,0.8,0,1.09,0,0.58,0.96,18.73,0,3.81,0,0,0,7.62,0,0,0,2.39,0,0,0,0.57
 48-58,0,0.67,1.61,0,0,49.96,0,0,1.94,0,2.68,0,0,0,0,0,0,2.1,0.65,0,28.08,0,3.28,2.7,0,0,1.48,0,0,0,3.92,0,0,0,0
 60-70,0,0,3.9,0,0,401.43,0,0,3.17,0,0,0,0,0,0,0,0,3.45,6.64,2.62,60.63,0,1.43,0.85,0,0,0,0,0,0,1.79,0,0,0,0
 72-82,0,0,13.84,0,0,726.15,0,0.96,12.1,4.39,1.66,0,1.4,0,1.06,0,0,10.57,0,1.4,46.25,0.5,5.14,0,0,0,0,0,0,0,0,0,2.44,0,0
 84-94,0,0,24.47,0,2.93,606.52,0,0,10.9,7.33,0.99,0,0.8,0,0.71,0,0,3.82,0.76,0,23.01,1.64,1.32,0,0,0,2.48,0,0,0,0,1.32,1.95,0,0
 96-106,0,0,29.64,3.76,1.44,734.58,0,9.25,20.71,3.81,0,0,0,0,0.79,26.49,0,4.52,0,0,32.28,0,1.67,3.37,0,0,4.14,0,0,0,0,0,0.74,1.84,0.75
108-118,0,0,26.34,0,20.08,675.02,0,0,4.24,3.7,0,1.13,2.46,1.92,2.46,0,0,19.99,0,0,58.53,1.11,3.43,0,0,0,1.26,0,0,0,2.65,0.56,2.6,0.92,0
120,0,0,62.23,0,0,885.64,1.01,0,12.46,0,0,0,5.64,0,0,0,0,32.01,0,0,118.12,1.18,0,6.77,0,12.2,1.09,0,0,0,0,0,4.56,0,0
