stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,40.48,327.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.13,0,0,0,0,0,0,0
  5-6,16.13,579.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.27,0,0,0,0,0,0,0
  7-9,0,22.42,10.31,0,0,27.33,0,0,0,10.77,0,0,0,0,0,0,0,0,0,242.94,5.08,0,0,84.39,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0,0,0,0,0,102.89,0,0,0,30.73,0,3.81,0,0,4.87,0,0,0,0
 14-21,0,0,1.03,12.03,0,0.83,0,1.28,0,0,0,0,0,0,0,0.85,0,0,0,15.95,0,0,0,0,0,1.15,0,1.03,1.22,3.22,9.12,0,0
 24-34,0,0,0,5.94,0,2.24,0.6,0,0.77,0,0,0,0,0.78,0,7.8,0.69,0,2.09,109.82,0,2.94,0.68,0,0,7.75,0,0,0,0,20.91,0,0.78
 36-46,0,0,0,18.18,1.13,20.5,2.12,3.64,0,0,0,0,0,0,0,8.81,0,0,0.58,162.98,0,0,9.3,0,0,1.33,0,0,0,0,32.11,0,1.65
 48-58,0,0,0,6.79,0,100.74,0,8.23,0,0,0,0,0.49,3.22,0.54,5.61,0.92,0,4.59,212.01,0,1.66,1.64,0,0,6.32,0,0,0,0,37.16,0,0
 60-70,0,0,0,6.62,0,61.74,0,6.57,1.82,0,0,0,0.86,0,0,12.8,2.04,0,0.6,135.85,0,0,0,0,0.71,5.6,0,0,0,0,17.53,0,0
 72-82,0,0,0,4.82,0,82.9,0,1.89,0,0.6,1.25,0.61,0.64,0.81,0,6.98,0.96,0,1.29,77.39,0.82,6.22,1.42,0,0,4.78,1.65,0,2.13,0,12.82,0,0
 84-94,0,0,0,4.94,0,27.67,0,5.62,0,0,0,0.99,0,0,0,23.26,0,0,0.6,94.89,0,0,0,0,0,14.73,0,0,0.82,0,3.43,0.86,0
 96-106,0,0,0,1.78,6.23,29.71,0,0,0.67,0,0,0,3.51,0,0,3.78,1.11,0,0,33.33,0,1.89,0,0,0,34.93,0,0,0,0,3.38,3.37,0
108-118,0,0,0,17.48,0,20.62,2.77,4.28,3.42,0,0,0.46,1.09,0.85,1.43,11.77,0,1.29,0,37.81,0,1.53,1.48,0,0,11.35,0,0,0,0,2.57,1.28,1.8
120,0,0,0,9.03,0,31.6,1.45,0,0,0,0,0,5.11,0,0,2.84,0,0,2.55,100.4,0,1.4,0,0,0,12.37,0,0,0,0,10.6,5.03,0
