stage,epidermis,erythrocytes,eye,glial,iridophores,mesenchyme,muscle,neural,olfactory,pericytes,periderm,spinal.cord
  7-9,0,0,0,0,0,0,0,28.44,0,0,0,0
 10-12,0,0,0,0,0,0,0,5.71,0,0,0,0
 14-21,1.8,0.94,0,0,0,0,0,6.07,0,0,0,1.43
 24-34,0,0,0.59,0,0,0,0,2.33,1.38,0,2.74,2.05
 36-46,0,0,5.15,0,0,1.16,0,8.56,0,0,0,0
 48-58,0,0,2.05,0,0,0,3.44,1.74,0,0,0,1.51
 60-70,0,0,3.9,0,0,0,0,0.65,0,0,0,0
 72-82,0,0.62,7.93,0.7,0,0,0,1.64,0,0,0,0
 84-94,1.34,0,2.13,0,0.62,0,1.65,0,0,0.6,0.77,0
 96-106,0.77,0,0,0,0,0,0,0,0.93,0,0,0
108-118,0,0.74,2.05,0,0,3.58,1.64,1.9,0,0,0,0
120,0,0,0,11.76,0,1.04,0,0,0,0,0,0
