stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,otic,periderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,11.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.26,0,0,0,0,0,0,0,0,0,0,0,11.4,0,0,0,0,0,0
 10-12,19.15,0,0,0,0,0,0,0,0,0,0,0,0,7.19,0,0,7.42,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09,0,0,0,0.98,0,0
 24-34,0,0,0,0,0.81,0,0,0,0,0,0,0,0.76,2.59,0,0,0,0.64,0,0
 36-46,0,0,0,0,3.4,0,0,0,0,0,0,0,0,12.46,0,0,0,6.94,0,0
 48-58,0,0,0,0,21.25,0,0.96,0,0,0,0.87,0,0,45.55,0,0,0,7.18,2.69,0
 60-70,0,0,0,0,54.18,0,0.71,0,0,0,7.83,0,0,48.43,0,0,0,8.2,0,0
 72-82,0,0,1.13,0,46.2,0,0,0,0,0,1.86,0,0,111.56,0,0,0,3.77,1.74,0
 84-94,0,0,0,0,35.98,0,1.15,0.55,0,1.29,3.17,0,0,69.66,0,0,0,1.33,0.61,0
 96-106,0,0,0,0,49.14,0,0,0,0,0,0.63,0,1.42,44.86,0.6,1.08,0,2.33,0,0
108-118,0,0,0,5.27,60,1.5,0,0,0.62,0,0.89,4.41,0,63.58,0,0,0.84,0,0,4.66
120,0,0,0,0,77.52,0,0,0,0,0,0,0,0,65.49,0,0,0,8.17,0,0
