stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,24.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.94,0,0,0,7.72,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.32,0,0,0,9.34,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,0,40.19,0,1.37,0,0,0,0,0,1.85,57.76,0,0,0,0,0
 24-34,0,0,0.67,0,12.33,0,0,0,0,0,0,0,0,0,0,0,3.59,0,0,0.89,744.01,0,2.96,0,0,0.84,0,0,0,207.7,0,0,0,0,0
 36-46,0,0,4.33,0,37.4,0,2.55,0,4.12,0,0,0,0,0,0,0,7.3,0,0,0.91,1422.39,1.12,15.8,0,0,12.71,0,0,0,319.96,0,0,0,0,0
 48-58,0,0,20.29,0,192.16,0,1.52,3.31,17.61,0,0,0,0,0,0.4,0,13.8,0,0,11.04,3019.43,0,5.88,0.63,0,9.73,0,0.41,0,350.09,0,0,0,0,7.53
 60-70,0,0,10.26,0,520.15,0,0,2.97,42.09,0,0,0,0,0,0,0,14.54,0,0,2.18,4344.09,0,7.4,2.68,0,12.13,6.36,0,0,495.73,0,0.98,6.72,0,3.92
 72-82,0,1.18,13.97,15.54,906.37,1.43,4.33,1.5,62.28,0.7,2.8,9.11,0,2.75,0,0,49.75,0,3.49,2.88,6949.22,0,22.07,2.29,0,8.18,0,0,0,468.23,0,0,16.27,0,18.85
 84-94,0,0.8,20.93,8.77,836.02,0,0,1.72,66.09,0,0,2.47,1.45,8.32,1.23,2.93,57.23,2.28,6.8,7.92,5028.86,0.65,24.1,4.17,0,7.85,0,0,0,412.68,0.9,0.88,0.57,2.23,0
 96-106,0,2.08,26.93,20.79,837.53,0.68,0.56,1.74,69.13,2.85,1.03,0.59,0.86,2.97,2.68,17.93,54.32,0,8.56,1.95,4761.31,1.63,30.73,7.75,0,19.1,0,0,0,165.88,2.03,0,3.25,5.27,12.3
108-118,0,0,21.9,6.75,730.17,6.09,0,0,87.17,1.8,0.74,0,1.57,1.23,0,3.05,57.75,1.47,0,9.24,5425.49,0,19.09,8.51,0,5.32,0,0,0,191.08,2.02,0,11.62,1.05,0.87
120,0,3.52,54.53,1.79,1035.63,2.52,0,0,179.7,0,0,13.55,0,0,1.77,0,93.79,1.49,0,3.2,8834.19,0,25.03,1.61,0,23.13,2.43,0,0,335.02,0,0,16.67,0,0
