stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,immune,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vasculature
  3-4,0,318.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.09,437.9,0,0,0,0,0,0,0,0,23.64,0,0,0,0,11.89,0,0,0
  7-9,0,11.95,0,0,7.69,0,0,0,0,0,130.13,3.21,0,12.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,35.91,0,0,5.35,0,0,0,0,0
 14-21,0,0,0,1.19,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0
 24-34,0,0,0,0,0,0,0,0,1.33,0.99,0,0,0,0,0,0,0,0,1.2
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0
 48-58,0,0,0,0,0.62,0,0,0,0,0.57,0,0,0,0,0,1.32,0,0,1.88
 60-70,0,0,0,0,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,1.27,0,3.11,0,0,0,0,2.6,0,0.69,2.21
 84-94,0,0,0.95,0,0,1.38,1.87,0,1.07,0,0.69,0,0.79,0,0,0,0,0,4.44
 96-106,0,0,0,0,6.58,0,1.09,0,0,0,1.52,0,0,0,0,0.6,0,1.9,2.41
108-118,0,0,0,0,1.03,0,0.46,0.46,0,0,0,0,0,0,2.63,0,0,0,13.06
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.77
