stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,2.92,0,0,0,14.02,0,1.36,0,0,0,0
 24-34,0,0,13.63,0,0.67,0,0,0,1.05,0,0,0,0,0,0,0,1.62,0,0,0,40.41,0,0.67,8.76,43.91,7.8,2.71,0,0,0,0
 36-46,0,0,46.52,0,2.14,3.39,2.21,0,1.27,0,0,0,0,0,0,6.76,2.01,0,0,1.51,29.38,0,1.62,1.27,108.23,0.81,22.35,0,0,0,0
 48-58,0,0,31.88,0,8.6,0,5.74,0,3.14,2.43,0,0,6.3,1.06,0,0,5.97,0,4.59,0,60.5,0,3.66,1.93,41.58,0,15.06,0,0,0,1.76
 60-70,0,0,36.27,0,24.33,0,4.46,0,0.89,1.57,0,0,0,0,0,0.86,6.49,0,0,0,45.21,0,2.81,0,58.45,0,1.72,0,0,0,0
 72-82,2.45,0,14.36,0,17.91,0,4.03,0,4.5,5.64,1.08,0,0,0,0.96,0,11.78,1.31,5.58,0,65.37,0,4.87,2,28.71,1.64,4.27,0,0,0,0
 84-94,4.72,0,38.46,0,9.6,0,7.99,1.2,3.12,7.53,0,0,0,0,2.99,0,8.59,0,0,2.08,47.66,0,1.79,2.77,55.25,0.7,0,1.33,3.66,0,0
 96-106,16.55,0,26.46,0,9.17,0,3.73,0,9.27,21.48,0,0.62,0,0,0,0,7,0.69,0,0,32.73,0,4.36,0.73,49.62,0.7,0,0,7.51,1.22,0
108-118,1.66,0.77,32.96,0.6,4.74,0,8.65,0,15.23,15.68,0,0,0,0,0,0,9.74,0.51,0,0,30.43,2.66,2.29,0,29.67,4.62,0,0,0,0,0
120,5.01,0,58.11,1.46,3.49,0,9.77,0,8.75,12.24,0,1.63,0,0,0,0,8.05,1.12,2.76,0,102.67,0,1.61,1.02,50.69,0,0,0,0,0,0
