stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  5-6,18.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.35,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.99,0,0,0,0,0,0,0,0,0
 14-21,0,10.05,1.66,0,0,0,0,0,0,0,0,0,0,0,0.83,6.87,0,0,0,1.89,0,2.54,0,0,0
 24-34,0,6.66,0,0,0,0,0,0,8.94,0,0,0.65,0,0,1.83,27.88,0,0,0,2.32,0,1.62,0,0,0
 36-46,0,5.42,0,0.67,0,0,0,0,4.19,0,0,3.96,1.68,0,0,7.96,0.64,0,0.57,5.86,2.28,0.71,0,0,0
 48-58,0,11.02,0,2.75,1.47,1.29,0,0,9.32,0,0,5.08,0.52,0,0,15.86,0,0,1.16,4.22,0,4.2,0,0,1.74
 60-70,0,5.35,0,4.71,0.99,0.88,6.41,0,6.8,0,2.2,1.99,0,1.09,0.9,6.21,0,0,0,0.77,0,0,0,0,0
 72-82,0,1.53,0,2.59,0,0,0,0,2.95,0,0,10.7,0,0,0,33.94,0,0,0,1.76,0,2.38,0.56,0.49,0
 84-94,0,10.86,0,1.66,0,0,1.33,0,16.54,0,0,9.18,0,0,4.74,23.38,0,0,0,1.15,0,1.97,0,0,0
 96-106,0,6.79,0,1.57,0,0,2.38,0.94,12.28,1.23,0,2.3,0,0,2.01,11.19,0,5.44,10.74,3.39,0,5.32,0,0.66,0
108-118,0,12.39,1.32,0.95,0.57,0,0,2.21,8.37,0,0.43,5.59,0,0,0,0.47,0,0.89,0,7.65,0,0,0,0,0
120,0,1.32,0,1.44,0,0,0,0,50.81,0,0,0,0,0,0,0,0,0,3.91,7.99,0,0,0,0,0
