stage,endoderm,epidermis,eye,liver,neural,spinal.cord
  7-9,0,0,0,0,3.62,0
 14-21,0.93,0.83,0,0,2.04,0
 24-34,0,0,0,1.22,1.51,0.73
 36-46,0,0,0,0,1.58,0
 48-58,0,0,0,0,0.73,0
 72-82,0,0,2.47,0,0.89,0
