stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.03,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.86,0,0,0,0,2.24,0,1.48,0,0,0,1.07,0,0,0,0
 24-34,5.16,0,0,0,0,0,0,0,243.2,0,0,0,0,1.14,0.85,7.21,1.07,0,0,5.41,1.4,0,0,0
 36-46,0,0,0,0,0,0,9.47,0,186.76,0,5.97,0,0.57,2.69,0,4.12,0,0,0,3.6,0,0,0,0
 48-58,1.06,0,0,0,0,1.57,0,0,173.47,0,0,0,1.16,9.83,0,23.27,5.15,0,0,0.48,1.59,0,0,0
 60-70,14.72,0,2.14,0,0,0,0,0,124.27,0,0,0,0,0,0,6.99,0,0,0,9.5,4.99,0,0,0
 72-82,11.94,0,6.35,0,2.13,0,0,0,210.84,0,0,0,1.26,1.17,0,4.33,0,0,0,1.46,1.45,0.89,7.21,2.06
 84-94,15.07,0,0,0,0,0,0,0,362.94,0,0,4.37,0.96,20.17,0,23.78,0,0,0,39.46,0,0,1.29,0
 96-106,99.15,4.65,2.73,0,0,0,1.39,0,378.33,8.28,0,0,2.66,5.24,0,13.62,0,0,0,2.51,0,0,4.68,0
108-118,67.37,0,0.48,1.2,0,0,0,3.01,638.52,0,0,0,2.1,14.51,0,4.26,0,0,0,6.29,0,0,8.69,0
120,84.59,0,0,32.95,0,0,0,0,543.77,0,0,0,0,0,0,3.8,0,3.86,3.28,21.51,0,0,29.72,0
