stage,axial,blastomeres,eye,immune,mesenchyme,neural,notochord,olfactory,otic,periderm,pgc,slow.muscle,spinal.cord
  3-4,0,69.25,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,71.25,0,0,0,0,0,0,0,12.57,0,0,0
  7-9,7.02,0,0,0,0,28.65,0,0,0,0,0,0,0
 10-12,0,3.59,0,0,0,0,7.35,0,0,0,0,0,0
 14-21,0,0,0,0,0,5.98,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.42,4.31,0,0,0,0,0,0,1.14
 36-46,0,0,4.25,0,1.04,10.29,0,0,0,4.38,0.81,0,0
 48-58,0,0,7.53,0,0,2.55,0,0,0,0.57,0,0,0
 60-70,0,0,19.13,0,2.67,6.74,0,0,0,0,0,0,0
 72-82,0,0,5.9,0,0,2.89,0,0,0,0,0,0,0
 84-94,0,0,2.9,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,2.3,0.65,0,0,0,0
108-118,0,0,0,0,0,0,0,3.46,0,0,0.79,0,0
120,0,0,0,1.43,0,45.74,0,15.55,0,0,0,2.35,0
