stage,axial,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.04,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,25.81,1.57,0,0.81,0,0,0,0,0,0.98,0,0,1.11,0,3.04,0,0,6.79,20.73,0,0,0,0,1.91,0.82,0,8.22,6.43,0,0,0,0,1.85
 24-34,0,6.25,0,0,5.78,0,0.83,0,0,0,0,0,0,7.33,0,8.46,0.95,0,0.93,85.75,0,0,0,9.03,0,0,0,2.62,24.9,0,0,3.01,0,0.77
 36-46,0,14.87,0.67,0,4.05,0,0,0,3.74,0,0,0,0,6.21,0,13.14,0,0,4.38,151.99,0,0,0,6.3,0,0,0,0,23.47,0,0,0.65,0,0
 48-58,0.58,4.58,0,0,37.16,0.97,0.4,0.85,3.35,0,2.55,0,0,6.79,0,14.26,0,0.38,3.72,283.16,0.73,0.71,0,5.34,0,0,0.46,0,34.44,0,0,4.99,0,0
 60-70,0,4.71,0,0,91.66,0,1.21,0,2.28,0.85,0,0.59,0,0,0,16.87,0,0,6.99,228.14,0,0,4.14,7.57,0,0,0,0,21.98,0,1.29,0,0,0
 72-82,0,5.11,0,0,188.09,0,0,0,32.41,3.35,0,0,0,0,0,24.09,16.01,0,2.88,363.86,0,0,3.55,7.05,0,0,0,0,15.57,0.8,2.08,7.91,0.56,0
 84-94,0,5.03,0,0,143.62,0,0.8,0.85,8.71,0,0,0,1.21,2.51,0,9.75,2.12,0,2.16,225.89,0,0.72,0,2.67,0,0,0,0,13.69,0,0,2.91,0,0
 96-106,0,6.4,0,0,193.22,0,0,0,19.87,0,0,0,1.1,1.37,11.09,17.44,0,1.05,0,185.75,0,1.85,0,1.74,0,0,0,0,1.71,0,0,6.67,0,0
108-118,0,6.22,0,0.53,102.58,0,0,2.42,15.56,0,0,0,1.23,2.21,0,24.34,2.33,0,1.65,221.55,0,0,0.87,1.83,0,0,0,0,4.84,0,0,3.79,2.98,0
120,0,5.7,0,0,114.97,0,0,0,27.6,3.57,0,0,0,0,0,31.14,0,0,0,314.41,0,0,0,1.42,0,0,0,0,1.74,0,0,10.56,0,0
