stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,5.41,0,6.93,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,18.82,0,0,0,0,1.89,0,0,0,6.99,2.15,0,0,24.17,1.09,0,1.37,0,0,0,0,0
 24-34,0.97,0,0,0,0,0,0,0,0,0,16.94,0,0,0,0,0.63,1.39,0,0.79,10,4.41,0,0,100.79,0,9.01,0,1.75,0,0,0,0
 36-46,0,3.66,0,2.11,0,0,0,0,0,0,11.71,0,0,0.67,0,0,0,0,0,23.15,2.83,0,0,128.82,0,4.69,0,0,0,0,8.09,0
 48-58,0,16.86,0,2.01,0.46,0,0,3.76,0,0,14.41,0,0,0.97,0,1.21,1.11,0,0.51,13.93,2.29,0,0,68.8,0,0.7,0,2.83,0,0,0,0
 60-70,0,54.46,8.61,4.01,0,0.84,0,0,0,0,8.95,0,0,16.93,0,0,0,0,0,8.02,0.75,0,0,45.19,0,4.43,0,0,0,0.69,0.96,0
 72-82,0.65,458.38,0,18.54,0,0,3.69,0.9,0,3.07,7.26,0,0.72,42.08,0,2.64,0,0,0,17.48,1.99,0,0,15.41,0,0,0,9.4,0,0,0,0
 84-94,3.76,378.05,1.17,9.1,0.6,0,3.29,0.6,0.78,0,26.24,0,2.45,150.28,0,5.39,0,0.57,0,33.28,9.4,0,0,49.84,0,2.9,0,0,0.57,0,0,1.66
 96-106,4.39,677.68,0,8.82,0,0,7.71,0.57,0,2.5,21.45,0,1.14,194.6,1.06,14.07,0,1.09,0,55.4,7.72,0.95,0,17.44,0,0.57,0,5.46,0.87,0,0,0
108-118,7.26,300.45,0,17.44,0,0,8.61,4.57,0.68,0,19.86,1.25,0.76,344.15,0,8.59,1.51,0,0.42,57.66,3.22,0,0,17.19,0,1.99,0.56,0,0,0,4.03,0
120,3.97,333.45,6.35,3.35,1.42,0,4.9,3.46,6.55,2.07,24.74,0,4.1,180.38,0,7.19,0,0,1.24,34.61,2.82,0,0,8.09,0,5.14,0,0,0,0,4.93,0
