stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,12.69,301.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,188.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,15.6,0,0,0,0,21.73,0,0,0,0,0,10.43,0,0,0,0,0,0,0,0,0,0,246.19,5.58,0,0,64.03,3.78,6.2,0,0,0,0,0,0
 10-12,0,27.96,29.63,0,10.78,0,78.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411.81,3.99,0,0,190.44,0,0,4.43,51.49,4.35,0,0,0
 14-21,0,0,1.25,15.83,1.76,0,6.87,0,0,0,0,0,0.98,0,0,0,0,0,0,2.87,0,0,4.31,42.17,1.78,0,0.93,2.08,1.42,0,2.34,0,15.45,8.84,0,0
 24-34,0,0,0,1.63,1.51,0,14.01,0,0,1.06,0,0,0,0,0,0,0.68,0,0,16.85,0,0,2.41,117.57,0,1.46,0,0,2.82,0,0,0,1.28,9.33,0,0
 36-46,0,0,0,0.82,0.73,0,6.29,0,0,0,6.15,0,0,0,0,0,0,0,0,3.71,0,0,0,37.16,0,0,0,0,3.01,0,0,0,0,6.84,0,0
 48-58,0,0,0,0.4,0,0,22.04,0,1.58,0.42,7.88,0.97,0,0,0,0,0.43,0,0,9.26,0.49,0.37,0.7,36.88,0,0.65,0,0,3.38,0,0,0,0,2.79,0.61,0
 60-70,0,0,0,0,0,0,13.44,0,0,0.76,3.32,1.11,0,0,0.61,2.01,0,0,0,5.51,0,2.37,2.29,55.39,0,0,0,0,2.16,0,0,0,0,0,0,0
 72-82,0,0,0,0.51,0,0,3.25,0,0,0,0,0,0,0,0,0,0,1.54,0,6.99,0,0,1.37,13.54,0,0,3.04,0,0,0,0,0,0,2.78,5.39,0
 84-94,0,0,0,3.52,0,0,12.89,1.27,0.94,0,2.6,0.58,0,1.42,0,0,0,0,0,5.33,0,0.65,0,13.85,0,0,2.9,0,1.65,0,0,1.29,0,0,0,0
 96-106,0,0,0,0.62,0,0.84,9.08,0,0,0,0,3.79,0,0,0,0,0,0,0,0.91,0,0,0.9,10.88,0,0.57,1.05,0,3.57,0,0,0,0,0.84,3.08,0
108-118,0,0,0,3.04,0.55,0.55,1.24,0,0,0,0,1.03,0,0,0.43,0,0,0,1.68,12.65,0.51,0,0,12.76,0,0,0.63,0,9.28,0,0,0,0,0,0.59,5.21
120,0,0,0,0,1.3,1.58,2.35,0,2.35,0,0,3.17,0,20.05,0,0,0,0,0,10.49,0,0,1.98,11.92,0,0,0,0,0,0,0,0,0,0,0,0
