stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,23.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.09,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,10.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.47,0,0,3.12,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28,0,1.37,0,0,0,0,0,1.7,16.09,0,0,0,0
 24-34,0,0,0,0,0,2.82,0,2.96,0,0,0,0.72,0,0,0,0,0,0,0,134.97,0,7.4,0.74,0,0,5.13,0,1.81,27.21,0,0,0.64,0
 36-46,0,0,0,2.21,0,10.27,0,1.4,0,0,0,0,0,0,0,3.25,0,0,0,424.36,0,1.86,1.66,0,0,3.55,0,0,79.52,0,0,0.71,0
 48-58,0,0,0,0,0,66.62,0,9.35,0,0,0,0,0,1.39,0,5.77,0,0,0,764.84,0,2.07,0.53,3.66,0,2.25,0,0,113.48,0,0,0.49,0
 60-70,0,0,0,1.15,0,293.34,0,16.01,1.31,0.84,0,0,0,0,0,4.07,0,0,0,915.24,0,1.9,1.88,0,0,5.37,0,0,59.02,0,0,0.76,0
 72-82,0,0,0,3.36,0,291.46,0,46.15,0,0,0.59,0,0,0,0,22.65,0,0,3.21,1121.7,0,1.99,0.84,0,0,9.51,0,0,128.15,0.94,1.14,1.59,0
 84-94,0,0,0,3.74,9.97,214.19,0.8,25.12,0,0,0,0,0,2.21,0,14.98,0.62,3.37,0.6,695.65,0,0.95,1.92,0,0,31.12,0.8,0,46.63,0.72,1.23,1.93,0.68
 96-106,0,0,0,5.11,6.06,199.97,0.98,16.21,1.2,0,0,1.14,0,4.33,0,13.09,0,0,0,521.53,0,0.83,3.26,0,0,27.75,0,0,30.98,0.82,1.05,1.06,0
108-118,0,0,0,16,0,189.6,0,10.12,0.74,0,0,1.1,1.01,5.04,0,9.54,0,0,2.88,675.28,0,1.47,0.98,0,2.63,40.42,0,0,8.79,0,2.33,0.83,0
120,2.82,0,0,3.29,0,94.61,0,12.26,0,0,0,3.64,0,0,3.92,31.36,0,0,0,741.81,0,0,11.81,0,0,28.77,0,0,11.35,0,0,3.17,0
