stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,28.68,143.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.25,0,0,0,0,0,0,0
  5-6,0,77.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,9.8,0,0,0,69.71,0,0,0,0,0,0,0,0,19.69,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,40.8,0,0,0,0,0,0,0,0,27.43,4.1,0,0,0,0,5.15,0,0,0,0,0
 14-21,0,0,0,0,0.87,0.81,0,0,0,27.88,0,0,0,0,0,0,0,0,8.64,0,0,0,0,0.9,0,9.23,0,0,4.24,0
 24-34,0,0,0,0.65,0,25.64,0,0,0,21.74,0,0,0,0,0,0,0.6,10.83,1.08,0,1.44,0,0,0,0,0.94,1.32,0,31.08,0.83
 36-46,0,0,0,0,0,9.02,0,0,0,3.42,0,0,0,0,0,0,0,15.18,4.31,0,0,0,0,0,0,0,0,0,27.96,0
 48-58,0,0,0,0,0,12.9,2.95,0,0,1.97,0,0,11.64,0,0,0,0,15.13,0.91,0,0,0,0,0,0,0,0,0,21.6,0
 60-70,0,0,0.57,7.92,0,20.24,0,0,1.63,3.85,0,0,0,0,0,0,0,7.12,1.8,0,0,0,0,0,0,0,0,0,16.21,0
 72-82,0,0,0,0.66,0,28.52,0.81,0,5.63,2.66,1.41,0,0.57,0,0,0,5.45,25.74,4.98,0,0,0,0,0,0,0,0,0,17.97,0
 84-94,0,0,1.16,3.77,0,70.58,0,0,22.21,2.37,0,0,0,0.78,2.64,0,4.43,59.67,0,0,0,0,0,0,0,0,0,0,28.22,0
 96-106,0,0,0,2.79,0,66.4,0,0,41.59,2.12,0,0,0,0.77,0,7.05,2.24,86.41,1.51,0,0,0.95,0.95,0,0,0,0,0,9.79,0
108-118,0,0,0.94,9.22,0,39.24,0,2.97,78.3,0,0,0.75,3.9,0,0,0,1.9,48.55,5.47,0,0,0.51,0,0,0,0,0,0.66,9.21,7.51
120,0,0,0,6.58,0,13.24,0,0,46.05,0,0,0,3.26,0,0,0,0,87.05,0,0,0,1.59,0,0,0,0,0,0,0,0
