stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vasculature
  3-4,0,125.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.98,0,0,0,0
  5-6,9.47,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,8.08,0,0,0,0
  7-9,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.82,0,0,0,5.24,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.47,0,0,0,19.47,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,3.96,0,12.6,0.91,0,0,0,4.18,0,0
 24-34,0,0,0,4.75,0,0,8.93,0,0,1.51,0,0,0.85,0,0,0,0,0,0,46.74,0.7,85.8,15.13,0,0,0,7.59,0,0
 36-46,0,0,0,1.43,0,0,8.95,0,1.04,0,0,0,0,0,0,4.54,14.21,0,0.56,205.67,0,69.77,8.1,0,0,4.24,9.8,0,0
 48-58,0,0,0,1.73,0,0,32.96,0,0,7.19,0,0,0,0,0,2.1,2.15,0,0,154.85,0,53.68,12.27,0,0,0,9.27,0,0.4
 60-70,0,0,0,0,0,0,281.96,0,3.17,22.42,0,0,0,0,0,2.09,15.05,0,0,479.23,0,68.05,14.52,0,8.61,0,4.39,8.11,0
 72-82,0,0,0,1.21,0,0,412.7,1.29,0,7.79,0.9,0,0,0,0,0,3.52,0,0,704.85,0,117.79,24.77,0,0,0,10.46,19.99,0
 84-94,0,0,0,10.98,0.83,0,467.75,0,0,8.95,1.2,0.71,0,0,2.09,2.07,5.9,6.74,0,543.01,0,92.39,51.15,0,3.47,0,6,86.81,3.6
 96-106,0,0,0,7.6,0,0,287.87,0,0,3,2.39,0,0,0.64,0,6.56,2.81,0.8,0.91,698.8,0,122.24,81.13,0,7.21,0,1.35,104.33,1.49
108-118,0,0,0,9.07,0,0.78,201.65,0,0,2.27,2.86,0,0,0,0,2.29,1.76,0,0,512.51,0,93.25,90.75,0,3.26,0,1.46,120.49,0
120,0,0,0,3.97,0,0,152.8,0,0,16.82,0,0,0,0,0,0,7.81,0,3.19,657.09,0,116.4,149.52,0,1.53,0,0,47.62,0
