stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,10.19,71.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.7,71.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.85,0,0,0,0,0,0,20.35,0,0,3.47,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,23.99,0,0,0,13.15,0,0,0,0
 14-21,0,0,0,3.76,0,0.89,0,0,0,0,0,0,0,0,0,0,17.73,0,0,0,0,17.61,4.32,0,0.84,4.78,0,0
 24-34,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,24.06,0,0,0,0,15.21,0,0,0,6.27,1.13,0
 36-46,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0,57.4,0,0,0,0,25.83,0,0,0,11.35,0,0
 48-58,0,0,0,0,0,8.46,0,1.06,0,0,0,0,1.55,0,0,0.55,12.43,3.54,0,0,0,7.31,0,0,0,4.23,0,0
 60-70,0,0,4.95,0,0,32.3,0,0,0,0,0,0,2.23,0,0,0,72.04,0,0,0,0,10.67,0,0,0,5.97,0,0.59
 72-82,0,0,5.7,0.92,0,14.86,0,3.56,0,0,1.69,0,1.55,0,0,0,19.2,0,0,0,0,3.32,0,0,0,4.06,0,0
 84-94,0,0,7.76,0,0,18.74,0,1.38,0,0,0.64,0,0.63,0,0,0,21.58,0,0,0,0,16.86,0,1.35,0,0.74,0.57,0
 96-106,0,0,3.12,0,0,8.96,0.76,2.08,0.59,0,1.84,0,2.64,0.78,0,0,23.64,0,0,0,0,20.08,0,0,0,0,2.06,0
108-118,0,0,7.56,0,0.49,3.87,0,0,0,0,3.98,1.58,7.56,0.53,1.52,0.62,35.05,0.48,1.36,0,1.89,21.33,0,0,0,0,0,0
120,0,0,14.42,0,0,9.81,0,0,0,0,6.32,0,0,0,0,0,38.01,0,0,0,0,16.1,0,0,0,0,0,0
