stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,428.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.36,0,0,0,0,0,0,0,0,0
  5-6,81.82,813.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.25,0,0,0,0,7.58,0,0,0,0,0,0,0,0,0
  7-9,17.86,25.55,42.82,0,0,155.7,0,0,0,0,41.11,0,0,0,0,0,0,0,0,0,0,1261.7,27.35,0,0,300.94,3.63,13.65,0,0,0,0,0,0,0,0
 10-12,0,13.28,32.29,0,12.76,94.65,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,993.57,31.87,0,0,317.97,0,0,0,56.47,0,0,0,0,0,0
 14-21,0,0,5.38,41.91,16.58,33.17,0,0,4.91,0.85,1.95,0,0,0,0,0,0,0,20.44,0,27.8,314.89,12.97,2.68,1.29,9.14,0,0,38.71,1.77,0,30.13,125.36,4.2,0,0
 24-34,0,0,0,6.36,0,103.34,0,1.32,3.25,0,0,1.79,2.37,0,2.64,0,0.69,0.65,64.69,0,23.32,376.35,12.44,0.83,7.88,0,2.21,0,0,0,0,3.9,68.2,4.65,0,0
 36-46,0,0,0,0,0.95,141.79,0,0,9.73,0,0,0,1.24,0,0.71,0,1.24,0,47.27,0,15.56,304.56,0,0.88,5.68,0,1.83,0,0,0,0,0,39,0.63,0,0
 48-58,0,0,0,0.39,0,196.87,0,1.09,24.11,0,0,0,4.56,0,0.92,0.83,0,0,34.73,2.76,13.46,174.78,0,0,0.99,0,3.27,0.65,0,0.53,0,0,21.08,4.33,0,0
 60-70,0,0,0,5.3,0,102.16,8.99,0,10.74,1.14,0,0,3.69,1.1,12.83,0,2.32,0,21.63,1.45,4.92,79.72,0,1.27,0,0,0,0,0,0,0,0,7.07,0,0,2.09
 72-82,0,0,0,2.53,4.51,50.72,0,3.17,19.9,0,0,0.5,0,0.59,0,0.55,2.52,0,31.33,2.09,7.3,73.87,0,0.79,0,0,0.83,0,0,0,0,0,12.2,5.5,0.65,4.75
 84-94,0,0,0,7.29,0,43.91,0,0.65,19.33,1.62,0,0,1.48,1.36,0,0,0.96,0,38.91,1.36,9,54.95,0,0,5.36,0,1.24,0,0,0,0,0,0,4.85,3.24,0
 96-106,2.68,0,0,5.56,0,29.31,0,0.65,18.07,0,0,0,2.32,0,0,2.28,0.67,0,18.39,4.08,4.48,40.27,0,0,3.65,0,5.56,0,0,0,0,0,2.43,0.57,0.61,1.22
108-118,0,0,0,2.3,1.48,27.47,0.88,0,21.56,1,0,0,1.72,0.45,0,0,2.91,0,22.18,0,3.3,88.05,1.12,1.33,1.21,0,1.62,0,0,0,0.69,0,0,0.58,0,0
120,0,0,0,9.82,2.87,30.38,0,0,21.21,0,0,0,0,0,0,0,0,0,20.6,0,12.02,48.17,0,0,2,0,4.41,0,0,0,0,0,0,0,5.15,4.77
