stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,80.33,1466.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.77,0,0,0,0,0,0,0,0,0
  5-6,32.53,356.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.86,0,0,0,0,0,0,0,0,0
  7-9,16.63,0,9.22,0,0,0,0,0,0,0,0,0,10.42,0,0,0,0,0,0,0,0,0,0,0,41.84,0,0,0,21.94,0,5.09,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.87,0,0,0,4.59,0,0,0,0,3.78,0,0,0,0,0,0
 14-21,0,0,0,44.33,7.93,0,17.03,0,0,0,0,1,0,0,0,0,0,0,0,0,44.18,0,0,29.14,122.17,7.92,0,0,0,0,74.85,0.9,7.67,0.87,0,23.29,0,14.79,0,0.96
 24-34,0,0,1.54,41.96,0.67,0,42.26,0,4.05,3.98,4.7,1.78,0,18.79,3.99,0,0,1.34,0,0,220.49,0,2.51,79.16,227.09,43.07,2.69,5.4,0,0,119.89,0,0,0,1.36,43.24,0,101.49,0,1.66
 36-46,0,0,0,28.19,7.85,0,22.41,0,29.73,10.37,12.42,1.39,0,8.85,9.73,10.87,1.44,1.3,0,7.68,322.37,0,7.66,54.46,109.91,23.14,1.41,7.03,0,0,119.83,0,2.07,0,0,30.24,0,69.75,0,0.81
 48-58,0,0,0,44.47,0,0,49.1,0,4.32,23.41,13.11,0,0,2.18,5.66,0,1.72,0,0,12.23,447.87,0,24.06,44.45,121.82,55.19,0.48,6.14,0,2.99,65.75,0,0,0.38,0,21.75,1.04,33.01,0.9,15.99
 60-70,0,0,0,52.38,1.86,0,53.8,1.23,5.7,6.55,30.02,0.63,0,6.41,10.96,0,1.18,0,0,7.39,646.25,0,16.92,41.84,91.15,6.22,0,8.3,0,1.34,89.95,0,0,0,0,17.89,6.83,55.83,1.7,54.06
 72-82,0,0,0,28.03,0.54,0,61.52,0,5.72,23.73,52.41,0,0,13.11,15.56,3.13,11.21,0,2.15,3.61,1057.48,0.67,30.16,47.48,130.44,11.46,0,17.87,0,12.87,45.26,0,0,0,0,14.27,13.15,109.39,15.54,46.44
 84-94,0,0,0,59.02,0,0,65.92,0.56,22.05,27.11,42.32,3.81,0,23.01,19.55,0,11.01,0,1.48,23.2,852.98,0.75,31.85,34.79,70.84,10.96,0.61,24.7,0,5.66,166.54,0,0,1.36,0,18.18,7.11,109.41,6.73,47.77
 96-106,0,0,0,49.19,6.66,0.98,79.28,0,17.78,10.65,95.41,2.09,0,25.22,10.36,0.63,9.76,0.66,12.64,12.73,869.07,2.91,30.56,37.12,126.31,16.85,0,30.42,0,12.85,130.59,0,0,0.82,0,28.45,14.85,131.14,32.19,59.9
108-118,0,0,0.98,90.24,0.49,4.79,53.95,0,31.13,30.7,61.14,3.07,0,16.86,19.24,1.2,24.19,5.19,5.05,36.48,934.4,0.48,49.06,45.68,128.8,9.06,2.43,35.68,0,24.13,142.31,0,0,0.52,0,16.65,27.01,112.55,11.06,71.09
120,0,0,0,91.04,0,0,46.53,6.51,11.72,12.84,88.45,1.33,0,23.5,45.09,0,6.14,3.53,3.69,26.26,604.75,3.7,80.53,34.87,71.16,38.69,4.1,28.04,0,40.11,94.34,0,0,0,0,7.91,13.94,193.44,22.98,27.26
