stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
 14-21,0,1.05,0.84,0,0,0,0,0,0,0,0,0,0,0,0,3.14,5.18,0,0,0,0,0,0.85,0,0.85,6.48,0,3.44,0
 24-34,0,5.42,0,4.56,0,0,0,0,0,1.42,0,2.08,0,2.22,0,0.61,23.87,0,1.7,0.63,0,2.04,0,0,0,7.79,0,9.82,0
 36-46,0,1.23,0,5.22,0,0,0.62,0,0,0,0,0,0,8.52,0.96,0,36.57,0,0,0,0,4.61,0,0,0,2.87,0,0.65,0
 48-58,0,0,0,4.4,0,0.69,0,0,0,0,1.93,0,0,6.87,0.87,0.54,26.56,0,2.55,0,0,0,0,0,0,3.16,0,4.49,0
 60-70,0,0,0,3.57,0.99,0,1.72,3.12,0,0,0,0,6.25,3.53,8.45,0,9.23,3.71,0,0,0,0,0,0.97,0,0.96,0,0,0
 72-82,0.68,1.05,0,12.89,0,0.88,1.4,0,0,0,0,0,0,3.81,2.53,2.71,16.66,0,1.1,1.48,0,1.01,0,0,0,0,0,3.95,0
 84-94,0,3.63,0,7.7,0,0,0,0,0,0,0,0,0,0.6,3.19,0,4.84,0,2.97,0,0,0,0,0,0,0.82,0.57,9.39,0
 96-106,0,4.05,0,5.99,0,0,0,0,0.89,0,0,0,0,6.64,0.8,1.64,1.8,0,3.79,0,0,0.75,0,0,0,0,0,2,0
108-118,0,1.67,0,2.79,0,0,2.18,3.8,2.06,0,0,3.18,0,16.37,1.85,0,0.6,0,0,0,2.81,0.48,0,0,0,1.72,0,0.94,6.27
120,0,3.48,0,8.94,0,1.44,0,0,1.28,0,6.94,0,0,7.57,0,0,6.41,0,3.97,0,0,0,0,1.22,0,0,0,4.02,0
