stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,29.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.66,0,0,0,0,0,0,0,0,0,10.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.71,4.1,0,23.5,0,0,0,0,0,0,0,0,0,0,0,0.94,38.72,0,0,0,0,0,0,0.91,0,17.81,0,0,0,0,0
 24-34,0,0,0,0.72,0,50.36,0,0,0.6,0,0,0,0,0,4.77,0,0,0,308.65,0,0,0,1,0,0,0,0,141.47,0,0,0,0,0
 36-46,0,0,0,1.07,0,20.84,0,0,3.88,0,0,0,0,0,10.18,0,0,2.23,632.94,0,0,1.46,0,0,3.07,0,3.08,145.43,0,0,0,0,0
 48-58,0,0,0,0.53,0,49.37,0,0,22.48,0,0,1.08,0,0,20.4,0,0,1.87,1030.5,0,0.39,0.44,0,0.46,0,0,0,119.03,0,0,0,0,0
 60-70,0,0,0,3.01,0,253.85,0,0,70.49,0,0,0,0,0,35.47,0,4.85,0.68,1374.24,0,0,14.56,0,0,16.5,0,0,120.77,0,0,0,0,0
 72-82,0,0.87,0,7.73,0,410.08,0.5,0,56.57,0,0,0,0.85,0,26.55,0,0.57,2.33,1291.38,0,2.52,7.02,0,0,0,0,0,88.48,0,0,0,0.71,0
 84-94,0,2.24,0,0,0,307.71,1.34,0.87,56.72,0,0,0,0,0,19.78,0,0.72,7.58,825.59,0,0,12.22,0,6.05,2.47,0,0,41.04,0.9,0,0,0.61,2.09
 96-106,0,0,0,6.65,5.66,397.88,0,0,68.97,0,0,0,0.83,0.82,20.25,0,1.98,2.61,680.65,0.62,0,5.31,0,0,5.51,0,0,39.08,0,0,0,0.86,0
108-118,0,0,0,11.03,0,362.01,0,1.84,75.89,0.5,0,0,3.57,0,27.26,0,1.29,3.25,839.29,0,0,16.3,0,8.19,0.76,0,1.48,31.67,0.68,0,0,0,0
120,0,0,0,13.58,17.24,366.69,0,0,94.11,0,0,0,1.01,0,54.1,1.49,0,2.81,1399.66,2.11,11.5,19.38,0,0,1.57,0,0,11.62,0,3.8,5.84,0,0
