stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,152.77,2921.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.9,0,0,0,0,0,0,0,0,0,0
  5-6,190.4,3138.71,0,0,0,0,0,0,0,0,0,0,0,18.67,0,0,0,0,0,0,0,0,0,0,0,146.04,20.05,0,0,35.84,0,11.11,0,0,0,0,0,0,0,0,0,0
  7-9,44.13,93.54,0,115.89,0,0,0,231.65,0,0,0,0,0,52.18,0,0,0,0,0,0,0,0,0,0,0,1939.01,49.63,0,0,800.61,0,7.07,16.59,0,0,0,0,0,0,0,0,0
 10-12,0,79.65,0,104.63,0,0,0,219.02,0,0,0,0,0,26.48,0,0,0,0,0,0,0,0,0,0,0,1631.03,20.55,0,0,503.11,0,0,0,0,113.56,0,5.41,0,0,0,0,0
 14-21,0,0,0,9.12,90.99,21.17,0,59.14,0,0,0,26.31,6.06,1.19,1.07,0,5.2,0,1.14,0,1.08,54.86,0,0,45.58,1395.93,21.89,3.26,4.36,28.41,0,23.2,0,136.37,8.85,1.78,81.65,353.03,0,5.66,0,0
 24-34,0,0,0,0.78,29.37,4.22,0,244.55,0,0,0,29.32,0,2.95,1.23,0.6,0.59,2.08,0.81,2.34,0.67,144.69,0,0,45.21,2317.66,4.87,14.26,11.09,0,0,75.87,0,0.83,8.34,0,6.36,435.85,0,28.45,0,4.91
 36-46,0,0,0,0,34.02,0.56,0,580.07,6.81,0,0,46.3,0,0,0,0,0,2.99,0,0.57,4.68,90.77,0,6,23.81,1615.67,1.89,15.64,1.53,0,0,17.39,0,0,0.63,0,0,336.15,0,9.52,0,17.93
 48-58,0,0,0,0.4,22.67,3.58,0,707.91,0,0,3.51,26.8,3.01,0,2.1,1.2,0,7.76,5.97,1.26,0,116.02,0,4.75,21.1,778.35,1.3,5.21,6.39,0,0,13.27,0,0,0,0,0,89.03,0,15.28,0,3.6
 60-70,0,0,0,0,7.82,0,0,465.99,0,0,0,37.71,3.67,0,0,3.98,0,4.51,2.2,7.86,0,85.51,0,4.47,6.36,312.58,0,11.57,8.85,0,0,10.33,0,0,0,0,0,33.6,0,6.3,0,0
 72-82,0,0,0.85,0,15.32,0.59,0,166.88,0,0,1.07,34.74,2.41,0,3.69,0.51,1.63,0,0,0,0,79.85,0,7.87,20.76,243.58,4.45,3.12,1.06,0,0,1.99,0,0,0.77,0,0,7.13,0,9.33,0,0
 84-94,0,0,2.82,0,19.48,2.55,0,150.49,0,0,0.77,23.4,3.07,0,0,5.51,2.51,1.77,0.97,0,0,55.65,2.28,6.35,17.29,167.86,0,4.23,3.34,0,1.49,13.22,0,0,0,0,0,9.37,4.81,18.35,0,0
 96-106,0,0,0,0,15.82,0,0,90.63,0,0,0,22.26,4.05,0,5.64,6,0,1.48,1.1,0,1.06,36.37,0,1.65,6.87,183.35,0,1.74,2.82,0,0,0,0,0,0,0,0,5.76,1.55,5.78,0.74,0
108-118,0,0,0,0,14.21,1.65,0,122.37,0,0.96,0,37.52,2.96,0,0,3.24,1.68,1.36,0.87,2.46,0,29.87,0,0.72,10.26,209.3,0,6.33,3.53,0,0,5.68,0,0,1.36,0,0,0.95,8.11,8.05,0,2.85
120,0,0,0,0,3.53,8.64,1.71,97.87,0,0,0,27.73,1.26,0,0,9.28,1.36,0,0,0,0,31.32,0,0,16.92,243.05,1.39,1.74,1.1,0,0,8.92,0,0,0,0,0,0,3.43,0,0,0
