stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  3-4,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.96,195.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.35,0,4.42,0,0,0,10.7,0,0,0,0,0,0,0,47.04,0,0,0,22.76,0,0,0,0,0,0,0,0,0
 10-12,0,17.43,0,23.55,0,12.77,0,0,0,0,0,0,0,0,0,0,0,93.72,0,0,0,75.47,0,3.78,0,0,0,0,0,0,0
 14-21,0,0,0,0.84,4.92,3.92,0,12.15,0,0,0,0,0,0,9.46,0,0,38.46,2.54,0,0,0,0,0,7.14,4.15,3.7,37.72,0,0,0
 24-34,0,0,0,0.6,0.63,0,0.83,15.23,0,0,0,0,0,0,2.72,0,1.87,35.75,0.68,2.14,0,0,0.79,0,0,5.9,1.78,34.52,0,0,0.6
 36-46,0,0,0,0,0,0.6,0,9.77,0,0,0,0,0,5.17,2.09,0,0,13.32,0,2.15,0,0,0,0.81,0,0.59,0,14.65,0,0,0
 48-58,0,0,0,0,0,11.3,0,7.3,0,0,0,0,0,0,1.67,0,0.39,2.98,0,0,0,0,0,0,0,1.66,0,6.85,0,0,0
 60-70,0,0,0,0,0.63,0.95,0,4.65,2.77,0,0,0,0.85,0,0.74,1.14,0,4.32,0,1.82,0,0,0,0,0,1.68,0,6.04,0,0,0
 72-82,0,0,2.99,0,0.69,4.15,0,3.01,3.03,0,0,0,0,0,2.16,0,0,6.51,0,5.99,1.34,0,0,0,0,0.57,0,6.41,0,0,0
 84-94,0,0,2.8,0,8.63,1.52,0,13.63,4.96,0,0,0.85,0.59,0,0,0,0,0.62,0,0.71,3.13,0,0,0,0,0.75,0,2.32,4.42,0,0
 96-106,0,0,1.41,0,0,0,0,13.28,6.89,0,0,0,2.58,0,2.3,0.97,0,7.14,0,10.43,0.57,0,0,0,0,0,0,3.5,1.1,2.11,0
108-118,0,0,3.46,0,3.91,3.43,0,9.6,6.2,0,0,0,1.73,0,1.37,0,0.75,10.41,0,3.94,2.06,0,0,0,0,1.07,0,2.02,0.51,0.42,0
120,0,0,17.45,0,0,0,0,13.59,2.46,0,4.76,0,3.67,0,9.45,0,0,13.72,0,4.31,11.81,0,0,1.53,0,0,0,1.17,0,0,0
