stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.69,51.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.92,0,0,0,0,0,0,0,0,0
  5-6,0,75.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,11.8,0,0,0,0,0,0,0,0,0,0,66.29,0,0,0,7.55,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,18.41,0,0,0,3.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.84,3.05,0,0,13.89,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,52.02,0,0,0,0,0,0,0,1.72,0,2.89,0,0,0,0,13.21,5.13,0,0,2.42,4.66,0,1.19,2.74,0,0,0,1.18,0,1.15,3.3,0,0,0,0,0
 24-34,0,0,1.22,24.77,0,0,0,0,0,0,0,0.66,0,2.02,0,0,0,0.68,56.65,6.37,0.69,0,2.89,12.9,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2
 36-46,0,0,0,9.12,0,0,1.4,0.61,2.73,0,0,0,0,0.57,0,0.56,0,2.26,6.96,7.69,0,3.87,2.52,11,1.85,0,1.98,0,0,0.67,0,0,0,0.58,0,0,0,0,0
 48-58,0,0,0,20.76,0,0,3.48,2.7,4.91,0,1.29,0,0,0,0,0,0,0,41.71,10.04,0,0,0.57,9.07,8.3,0,2.29,0,0,0,0,0.76,0,1,0,0,0.58,0,0
 60-70,0,0,0,11.6,0,0,6.47,0,9.11,0,5.67,0,0,0,0,1.79,0,0.66,67.29,15.91,0,0,0,17.63,0.58,0,1.12,0,0,0,0,0,0,3.57,0,0.8,0,0,0
 72-82,0,0,0,8.33,0,0,6.25,0,2.18,0.59,2.79,1.52,0,0,0.64,0.72,0,1.42,282.64,7.55,0,0,0,35.41,0,0.53,2.04,0,0,1.14,0,0,0,0,0,0,0,0.49,0
 84-94,0,0,0,23.5,8.88,0,14.2,0,2.03,1.75,0,0.72,0,0,0,0,1.03,0,1066.15,9.46,0,1.81,0,46.68,1.97,7.07,1.83,0,0,0.74,0,0,0,2.12,0,0,0,1.73,0
 96-106,0,0,0,12.88,15.9,1.98,81.37,0,2.24,1.11,24.06,1.79,0,0.68,4.95,0.76,0,0.6,1697.22,30.9,0,2.11,3.44,186.74,2.87,1.39,1.56,0,1.11,6.91,0,0,0,4.55,1.57,1.15,0.88,0.64,0
108-118,0,0,0,30.13,4.62,0,34.9,0,4.11,0,7.04,2.93,0,0.71,1.21,1.46,0.65,0,3551.66,27.09,0,0,2.02,171.3,7.55,0,9.55,0,0,7.08,0,0,0,0,0,2.1,0.88,0.57,0
120,0,0,0,41.22,3.52,0,10.17,0,5.01,0,10.03,0,0,0,0,0,12.97,0,1497.22,22.93,0,2.03,0,118.02,26.07,4.61,6.12,0,0,6.4,0,0,0,0,5.98,0,7.47,0,0
