stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,23.71,333.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.06,0,0,0,0,0,0,0,0,0
  5-6,21.47,687.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.79,0,0,0,0,0,7.83,0,0,0,0,0,0,0,0,0
  7-9,13.73,13.99,3.91,0,0,39.69,0,0,0,0,12.13,0,0,0,0,0,0,0,0,0,0,362.54,40.25,0,0,116.97,0,4.34,6.2,0,0,0,0,0,0,0,0
 10-12,4.89,10.87,61.19,0,11.98,62.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354.7,0,0,0,121.37,0,0,0,8.33,6.84,6.54,0,0,0,0,0
 14-21,0,0,1.54,6.89,4.13,5.12,0,0,0,1.94,0,0,0,0,0,0,0,3.87,0,0,4.29,98.17,0,0,2.97,2.2,0,1.79,0,11.01,0,8.24,27.04,0,0,0,0
 24-34,0,0,0,1.45,0,12.8,0,0,0,1.45,0,0,0,0,0,0,0,5.92,0,0,4.04,151.86,0,0.89,2.55,0,0,0.62,0,0,0,3.73,34.06,0,0.96,0,0
 36-46,0,0,0,1.55,0,21.1,0,0,0,12.85,0,0,0,0,0,0.61,0,11.87,0,0,3.18,142.08,0,0,1,0,0,2.62,0,0,0,0,29.31,0,0.69,0,1.12
 48-58,0,0,0,0.84,0,35.27,0.58,0,0,10.18,0,0,0,0,0,0,0.48,18.83,0.7,0,8.14,87.37,0,0.6,0.54,0,0,1,0,0,0,0,25.49,0,2.99,0,0
 60-70,0,0,0,0.6,0,41.94,0,0,0,8.6,0,0.93,0,0,0,0.7,0,21.28,0,0,3,60.51,0,3.34,3.1,0,0,0,0,0,0,0,11.57,0,0.75,0,10.73
 72-82,0,0,0,0,0,13.46,0,0,0,5.91,0,0,0,0.7,0,1.52,0,22.87,0,2.27,2.71,52.78,0,1.22,0,0,0,1.51,0,0,0,0,10.12,0.85,2.19,0,3.59
 84-94,0,0,0,0,0,18.76,0,1.18,1.19,9.48,0,0,1.66,0.6,0,0.92,0,21.81,0,1.14,1.86,26.99,0,1.37,2.68,0,0,3.79,0,0,0,0,4.21,0,0,0,2.1
 96-106,0,0,0,3.48,0,20.67,0,0,0,15.02,0,0.62,0,0,3.81,0,0,15.05,0,0,3.09,13.31,0,2.31,0.61,0,2.5,2.81,0,0,0,0,0,0,5.34,0.66,0
108-118,0,0,0,0,0,11.87,0,0.88,1.85,13.05,0,0,0,0,0,0.83,0,17.48,0,0,1.71,40.22,0,0.55,2.01,0,0,2.42,0,0,0,0,5.42,0,3.17,0,2.67
120,0,0,0,2.34,0,36.4,0,0,3.46,4.03,0,0,6.25,0,0,0,0,8.72,0,0,1.08,41.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
