stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,0,13.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,52.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.3,0,14.48,0,0,0,9.1,0,0,0,5.85,0,0,0,0,0,0,0,0,0,24.44,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.97,0,0,8.8,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.79,0,0,4.21,0,0,0,0,0,0,0,0,0,0,2.84,0,0.98,13.35,1.07,0,0,0,1.03,0,0.85,4.68,0,0,0
 24-34,0,0,0,1.32,1.22,0,4.31,0,2.26,0,0,0,0,0,0,0,1.51,2.09,0,0.63,32.33,1.63,0,0,0,0,0,0,6.9,0,0,0
 36-46,0,0,0,0,0,0,17.18,0,0,0,0,0,0,0,0,0,7.65,1.28,1.06,0,53.28,0,0,0,0,0,4.09,0,3.81,0,0,0.81
 48-58,0,0,0,0,0,0,53.71,0,2.58,0,0,0.84,0,0,0,0,0,1.74,0,0.4,64.41,0,0,0,0,0,0,0,2.26,0,0,3.32
 60-70,0,0,0,4.18,0,0,426.64,0.64,3.38,0,0,0,3.2,0,0,0,0,2.48,0,0,43.15,0,1.85,0,0,0,0,0,3.98,0,0,0
 72-82,0,0,0,0.52,0,0,427.88,0.82,6.04,0.71,0,0,0,0,0,0,4.51,3.34,0,0,27.08,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.81,0.59,0,447.64,0,8.05,0,0,2.31,0,0.78,0,0,0,1.92,0,0.95,23.15,0,0,0,2.88,0,0,0,5.04,0,0,0
 96-106,0,0,0,2.58,2.27,0,455.79,0,3.22,0,0,0,0,0,1.48,1.05,0,0,0,0,38.89,0,0,0,4.65,0,0,0,0,4.84,0,1.24
108-118,0,0,0,0,0.76,0.55,295.1,0,3.19,0,0,0,0,0,0,0,2.94,1.58,0,0,31.84,0,0,0,0.91,0,0,0,0,0,2.38,1.28
120,0,0,0,28.01,0,0,287.21,0,3.65,0,0,0,0,0,0,0,0,0,0,1.66,33.48,0,0,0,0,0,0,0,0,0,0,0
