stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,32.49,692.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.59,0,0,0,0,0,0,0,0,0,0,0
  5-6,41.95,147.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.94,0,0,0,0,13.06,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.47,0,0,0,4.79,0,19.28,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,21.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2659.91,110.43,0,0,104.29,0,6.91,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.23,1267.91,0,22.69,0,65.88,0,0,0,0,0,10.31,0,0,0,17.57,7.27,0,0,0,76.95,443.86,0,17.1,0.86,0,34.5,0,5.17,0,0,1.19,15.58,0,0,0,0,14.43
 24-34,0,0,2.4,0,233.14,0.81,7.62,0,340.76,0,1.94,0,0,0,2.43,0,0,0,25.58,14.17,0.64,0,3.15,76.86,30.98,1.02,0.73,0,0,129.43,0,0,0,0,0,13.21,0,0,15.73,0,6.32
 36-46,0,0,0,0,116.55,0,17.81,0,140.15,1.57,5.39,0,0,0,2.6,0,0,0,15.01,31.59,2.58,0,1.36,146.45,10.02,0.7,1.74,0,0,138.29,0,0,0,0,0,8.32,0,0,8.04,0,6.09
 48-58,0,0,0,0,83.36,0,66.47,0,111.12,12.99,18.34,0,0.85,0,0,0,0.47,1.88,4.46,86.88,0.73,0,1.38,449.74,2.54,0,1.4,0,0,218.84,0,0,0,0,0,14.22,0,0,3.17,0,1.01
 60-70,0.81,0,0.57,0,77.22,0.71,731.85,0,93.18,18.83,63.67,0,0,0,12.74,7.43,1.55,0,0,297.06,0,0,2.81,947.03,2.11,0.9,0.65,0,0,238.51,0,0,0,0,0,5.96,0,0,5.09,0,15.67
 72-82,0,0,0,0,79.78,0,1352.97,1.76,46.82,24.99,149.17,1.71,0,3.59,5.1,2.89,0,1.6,1.42,713.18,1.03,0.93,2.71,899.04,0,1.58,0.51,0,0,206.75,0,0,0,0,0,12.2,0,0.83,22.47,0,1.76
 84-94,0,0,0,0,172.12,0,929.16,0,80.75,7.87,118.36,0,0,0.86,23.31,0.55,0,2.4,1.05,546.7,2.72,5.01,2.2,614.88,0,8.57,3.5,0,0,580.64,0,0,0,0,0,5.42,2.26,0.77,6.8,0.82,4.81
 96-106,0,0,0,0,200.6,12.9,1017.06,1.98,77.43,10.71,109.57,3.47,0.87,5.07,19.89,2.05,0.92,4.07,0.6,485.98,12.74,0.58,7.02,476.73,0.66,4.21,2.93,0,1.45,827.82,1.35,0,0,0.68,0,8.72,5.09,0,13.61,0,14.66
108-118,0,0,1.63,0,229.35,3.81,845.51,0,94.18,23.2,69.59,3.55,0,4.67,19.2,0,0.6,3,0.51,399.82,8.63,2.26,3.01,635.48,0.55,1.1,4.43,0,5.18,567.29,0,0,0.42,0,0,0.42,3.97,1.52,4.85,0,8.14
120,0,0,0,0,155.88,0,531.03,0,61.22,0,50.31,8.76,0,6.1,1.35,0,3.84,18.25,0,401.03,3.77,10.15,0,634.43,0,0,5.1,0,0,464.18,0,0,0,0,0,0,0,0,4.64,0,0
