stage,endocrine.pancreas,exocrine.pancreas,eye,gut,liver,mesenchyme,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord
 10-12,0,0,0,0,0,0,0,7.69,0,0,0
 14-21,0,0,0,0,4.33,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.69,0,0,0,0
 48-58,0,0,0.39,0.43,0,0,0,0,0,0,0
 60-70,0,0,2.2,9.72,0,0,0,0,0,0,0
 72-82,0.54,0,0,4.36,0,0.53,0.89,0,0,0.73,1.17
 84-94,1.84,0,0,4.91,0,0,10.65,0,0,0.7,0
 96-106,3.18,1.07,0,16.16,0,2.18,2.54,0,1.5,0,0
108-118,0.79,2.23,0,12.86,0.43,0,5.87,0,0,0,0
120,0,1.89,0,27.35,0,2.76,4.62,0,0,0,0
