stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,22.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.71,0,0,11.73,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46,0,0,4.39,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,0.87,0,0,0,0,0.83,0,0,0
 24-34,0,2.12,0,0.61,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,14.05,0,0.64,0,1.33,2.19,4.4,0,0,0
 36-46,0,0,0,0.93,0,0,0,0.59,0,0,0,0,0,0,0,1.34,0,0.73,18.65,0,0,0,5.77,0,3.21,0,0,0
 48-58,0,0,0,8.35,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0.6,25.56,0,0,0,5.45,0,1.11,0,0,0.84
 60-70,0,0,0,10.72,0,0,0,0,0,0,0,0,0,0,0,2.72,0,0,23.38,0,0,0,5.05,0,3.88,0.71,0,0
 72-82,0,0,0,16.21,0,0,0,0.66,0,0.59,0,0,0,2.05,0,3.45,0,1.67,53.21,0,0,0,13.92,0,6.53,1.58,0,0
 84-94,0,0,0.68,3.55,0.76,0,0,0.55,0,0,0,0,0.66,0,2.28,5.66,0.57,0,37.94,0,0,0,17.33,0,3.81,0,0,0
 96-106,0,0.62,0,3.33,0,0,0.75,1.52,0,0,0.66,1.72,0,0,0,1.18,0,0,16.65,0,1.36,0,4.29,0,0,0,0.96,0
108-118,0,3.95,0,13.62,0,0,0.82,5.97,0,0,0,0,0,1.39,0,2.63,0,0,15.95,0,0.43,0,3.02,0,0,0,0,0.59
120,0,1.08,0,4.42,0,0,0,0,1.09,0,0,0,0,0,0,5.11,2.91,7.47,56.94,0,0,0,13.77,0,10.07,0,0,0
