stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,99.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.49,91.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.77,0,0,0,4.06,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8.25,0,0,1.25,0,9.51,0,0,1.08,0,0,0,0.88,0,0,0,0,0,0,0,0,363.37,2.92,1.74,0,0,0,0,0.9,1.91,0,0,2.22,287.6,0,0,0,0,0
 24-34,0,0,0,3.96,1.21,0,16.82,0,55,0,3.54,0,0,0,0,0,0,0,3.43,0.62,9.73,0,0,2.6,2471.37,0,68.03,0.98,0,0,4.2,0,0,0,0,0,1303.18,0,0,10.27,0,0
 36-46,0,0,0,8.06,0.88,0,152.83,1.58,13.95,0,10.67,0,0,0,1.47,0.63,3.68,0,0,1.8,14.68,0,0,1.2,5417.55,0.58,78.54,0,0,0,38.55,0,0,0,0,0,2242.08,0,0,6.73,0,2.24
 48-58,0,0,0.39,26.07,0.75,0,901.08,0.69,23.7,3.85,78.04,0,0,1.27,1.07,0,6.84,0.56,10.28,1.28,62.2,0,0.41,3.63,7242.54,0,49.3,4.96,0,0.39,13.39,0,0,0,0,0,2214.82,0,0,7.13,0,25.21
 60-70,0,0,0,29.01,2.26,0,3277.16,7.5,8.19,18.29,94.59,1.58,0,0,14.37,6.82,0.85,2.84,0,1.83,77.05,2.49,7.45,14.39,13579.29,6.04,48.83,12.71,0,0,6.72,0,0,0,0,0,3106,0,8.29,22.68,0.73,20.83
 72-82,0,0,1.35,74.02,25,0,5234.18,0.52,15.9,13.26,231.41,7.35,0,1.84,0,0,8.41,2.01,12.35,5.99,194.91,3.75,13.99,25.42,15369.81,0.62,89.72,5.83,0,3.56,14.91,0,0,0,3.73,0,2247.02,3.98,2.18,43.23,7.17,83.08
 84-94,0,0,0,128.36,18.12,0,4176.34,2.08,8.71,21.38,181.75,2.21,0.86,6.23,2.99,3.37,25.17,2.06,7.46,0,133.14,9.3,6.26,6.41,10848.9,0.63,62.83,5.12,0,0,26.67,0,0,1.18,0,0,1473.1,10.09,15.98,13.72,4.99,3.57
 96-106,0,0,2.41,92.33,37.46,0,3657.03,2.81,11.12,18.66,280.27,8.3,0,2.53,12.91,1.05,9.85,1.11,3.83,0,157.16,1.93,3.93,15.26,9643.89,1.23,89.56,20.02,0,0.81,51.16,0,0,0,0.68,0,601.81,2.26,4.19,23.15,2.25,51.32
108-118,0,0,0,120.71,6.64,4.3,4149.76,5.45,6.92,2.86,263.74,1.89,0,0,2.18,2.04,7.87,0,2.86,10.64,124.27,0.45,13.09,7.94,14464.57,1.14,81.33,19.69,0,8.76,17.42,0,0,0,0,0,736.71,11.98,3.49,37.62,8.38,14.77
120,0,0,0,134.45,11.77,16.03,5126.04,15.2,20.2,0,518.29,3.91,0,0,14.17,2.06,8.75,0,26.81,1.6,184.98,9.06,0,15.37,24220.5,7.58,127.49,45.66,0,12.35,31.53,0,0,2.39,10.96,0,964.66,3.15,0,55.28,4.22,13.4
