stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,16.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.43,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.32,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,9.32,0,0,0,0,0,0,0,0,0
 14-21,0,0.82,2.34,0,0,0,0,0,1.02,0,4.33,0,0,0,0,0,0,0,0,9.29,0,6.52,0,1.67,0,17.52,0,0,0,0
 24-34,0,0.71,0,0,0,0,0.78,0,2.46,0,0,0,0,1.52,0,0,3.55,0,0,179.06,0.97,43,0,0,0,74.89,0,0,0,0
 36-46,0,0,1.08,0,0,4.2,0,0,1.3,0,0,0.93,0,0,0,6.3,2.73,0,0.58,382.93,0,43.49,0,0,0,109.15,0,0,0,0
 48-58,0,0.54,0.41,0,0,14.84,0,0,0.86,0,0.53,0,0.47,0,0.72,0,8.52,0,1.09,392.48,0,15.2,0.64,0,0,111.99,0,0,0,0
 60-70,0,0,0,0,0,120.35,0.65,0,17.97,0,0,0,0,1.33,0,0,13.33,0,0,509.33,1,12.98,0,0,0,161.66,0,0,0,0
 72-82,0,0.62,9.72,0.97,0,281.5,0.58,1.23,11.39,0.77,0.5,0,0.59,0,0.67,0,28.26,3.75,0,682.21,0,33.7,0.55,0,0,143.24,0,0.82,0,3.85
 84-94,0,0,11.37,0,0,249.33,0,0,16.58,0,1.5,0,0,0.56,0,0,13.85,0,0,460.65,0,13.44,3.31,0.8,0,76.89,0.84,5.21,0,0
 96-106,0,0,9.07,0,0,372.84,1.15,0,24.68,0,0,1.02,0,0,3.01,0,29.86,2.84,0,434.96,0,26.06,7.94,2.57,3.39,42.33,0,1.81,0.86,0
108-118,0,2.77,5.59,0,4.09,257.37,0,0,33.93,2.66,0,0,0.47,0.86,1.08,0,28.36,1.84,0,742.51,0,17.75,4.41,0.72,0,41.65,0,0,0,0
120,0,1.37,4.24,13.62,0,194.44,0,0,48.9,5.94,0,0,0,0,7.75,0,24.42,2.47,0,987.25,0,7.88,20.56,0,0,78.66,0,0,0,0
