stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,48.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,9.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.11,0,0,0,8.02,0,11.97,0,0,0,0,0,0,0,0,0,0
 10-12,8.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4.65,3.79,8.67,0,0,0,0.91,0,0,0,0,0,0,0,1.5,0,0,3.32,14.7,0,0,0,1.57,0,0,21.57,0,0.82,5.1,6.95,0,0,0,0,0
 24-34,0,0,2.91,0,10.46,0,0,0,2.2,0,0,0,0,0,0,0,3.53,0,0,8.21,88.04,0.62,0,0,0,0,0,0.71,1.13,2.31,6.94,41.43,0,0,1.29,0,6.26
 36-46,0,0,0,0,7.94,0,4.79,0.82,2.17,1.33,4,0,0,0.94,0,1.81,15.53,0,0,2.91,213.38,0,0,0,0,0,0,0,0,0,0,54.51,0,0,0,0,0.57
 48-58,0,0,0,0,71.78,0,4.46,0.86,10.19,0,2.02,2.33,0,0,0,0,29.97,0,0,4.1,303.16,0,0,0,0,0,0,0,0,0,0,84.27,0,1.12,0,0,0
 60-70,0,0,1.97,0,66.87,0,2.21,0.68,25.92,0,0,0,0,0,0,0,59.37,0,0,2.05,387.37,0,0.96,6.8,0,6.2,0,0,0,0,0,86.8,0,12.12,1.11,0,0
 72-82,0,0,1.98,1.82,102.81,0,1.07,0,40.23,0,0,0,0,0,9.19,0,103.01,1.09,4.48,2.41,648.8,0,0,0,0,4.65,0,0,0,0,0,83.99,4.21,14.79,4.01,0,1.17
 84-94,0,1.05,0.82,0,129.89,0,0,2.01,13.48,0,2.1,0,0,0,0,0,73.16,0,14.14,1.34,356.46,0,0.76,0,0,4.14,0.95,0,0,0,0,22.86,0,3,6.2,0,0
 96-106,0,1.41,0.85,0,89.14,0,1.21,0,22.98,2.43,0,2.41,0.58,0,0,0,36.09,2.18,0,4.53,451.2,0,0,0.74,0,0,1.74,0,0,0,0,38.35,1.26,0.75,2.32,3.31,3.54
108-118,0,0,1.68,0.6,80.4,0.67,0,1.27,17.82,0.63,0,0,0,1.56,0,0,90.27,0,0,0,468.67,0,0,1.31,0,4,0.59,0,0,0,0,17.34,0,0,2.08,0,0
120,0,0,1.95,0,142.59,0,0,0,63.26,0,0,0,0,0,0,0,20.45,0,0,7.47,857.47,0,0,2.09,0,0,0,0,0,0,0,28.59,0,0,9.28,0,0
