stage,erythrocytes,eye,immune,neural,periderm,spinal.cord
 24-34,0,0,0,0,1.22,0
 36-46,0,0,0,2.59,0,3.1
 48-58,0,0,0,2.44,0,0
 60-70,0,1.6,0,0,0,0
 72-82,0,0,0,4.07,0,0
 96-106,0,0,0.65,0,0,0
108-118,6.44,0,0,0,0.54,0
120,0,0,0,13.7,1.03,0
