stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.64,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.08,7.26,0,0,7.96,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.83,5.64,0,1.18,0,0,0,0,0.96,0,5.94,0,0,0,0.83,0,0,5.97,2.63,0,0,0,1.68,1.5,0,9.39,21.51,1.99,0,0,0,0
 24-34,0,0,0,1.82,8.08,0,5.27,0.66,0,0,0,0,0,7.89,0,0,0,0.67,0,0,17.38,23.64,0,0,1.16,0,0,0,1.03,19.4,17.73,0,1.08,0,0
 36-46,0,0,0,0.58,14.2,0,5.96,9.82,0,0,0,0,0,8.79,0,0,0,3.17,0,0,9.89,36.26,0,0,0,0,11.33,0,0,2.28,14.68,0,0,0,0
 48-58,0,0,0,0,51.5,0,28.52,2.8,0,0,1.63,0,0.51,6.2,2.21,0,7.59,1.33,0,0,3.76,60.94,1.42,1.57,7.08,0,4.58,0,1.84,0,6.13,0,2.18,0,0
 60-70,0,0,0,6.6,117.44,0,263.73,5.04,1.83,0,11.58,0,0,7.12,0,2.21,0,4.55,0.85,0,3.1,47.38,0,2.71,3.31,0,0,7.12,0,0,19.66,0,1.78,0,0
 72-82,0,0,0,1.21,547.46,0,491.1,2.25,0,0.61,2.36,0,0.66,24.15,1.71,0.9,0,8.47,0,0.54,0.67,91.84,0,4.35,14.9,0,5.13,0,0,0,14.86,2.11,5.95,0,1.8
 84-94,0,0,0,0,664.39,0,287.07,6.7,0,0,20.24,0.68,0,36.68,0,4.71,0,13.66,0,0.57,0,65.02,0,0,8.85,0,0.9,0,0,0,9.17,0,1.25,0,9.28
 96-106,0,0,0,2.75,691.79,0,402.26,3.18,0.9,0,9.3,0,2.09,40.64,0.8,0,0,10.99,0,0,5.74,56.06,0,1.23,5.16,0,4.78,0,5.77,0,6.42,0,3.97,0,0
108-118,0,0.58,0,1.97,274.27,0.46,296.31,8.88,0.96,1.42,8.48,0,5.07,35.47,0,1.8,0,4.06,0,0,1.41,75.41,0,1.3,11.08,0,0.75,0,0,0,0,3.18,3.31,1.59,0
120,0,0,0,1.08,283.88,0,241.96,0,0,0,16.87,0,0,86.95,0,2.98,9.24,14.71,0,0,0,164.5,0,6.75,22.03,0,4.23,0,0,0,15.2,0,3.97,0,0
