stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.09,921.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.11,0,0,0,0,0,0,0,0,0
  5-6,40.11,302.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.19,0,0,0,0,7.36,0,0,0,0,0,0,0,0,0
  7-9,0,19.3,0,0,0,0,4.54,0,0,0,0,0,8.87,0,0,0,0,0,0,0,0,0,0,0,45.05,5.42,0,0,8.87,0,4.58,0,0,0,0,0,0,0,0
 10-12,0,19.28,0,0,0,0,6.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.3,0,0,0,33.93,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.95,19.07,28.22,7.17,1.17,0,1.82,0,28.96,45.38,0,0,0,0,0,0,0,0,126.62,0,0,55.36,106.41,2.73,0.84,0,1.03,0.9,3,1.28,13.81,340.11,0,0,10.87,0,0
 24-34,0,0,4.35,11.65,14.26,0.68,18.5,0,7.22,0,26.33,24.17,0,0.92,0,0.6,0,0,0,3.76,94.71,0,0,15.86,993.31,0,97.2,0,0,1.5,0,0,0.62,580.8,0,0,94.99,0,3
 36-46,0,0,4.17,0.67,1.25,0,107.16,0,0,0.63,11.95,2.98,0,0,0,0,0,0,2.68,3.39,21.14,0,1.29,3.82,2205.39,0,118.19,3.47,0,0,0,0,0,610,0,0,67.02,0,0.72
 48-58,0,0,0.46,0,8.13,0,271.06,0,6.55,0.42,30.13,1.36,0,1.51,0,4.94,0,0,0,1.52,18.69,0,0,7.5,2296.56,4.84,86.83,0.4,0,11.78,0.56,0,0,605.73,0,0,167.92,0,1.28
 60-70,0,0,0,0,4.81,0,698.4,0,7.37,0,63.33,0,0,8.12,0,0,0,0.6,0,7.4,23.55,0,1.82,5.46,3002.38,0,98.22,0,0,3.12,0,0,0,633.09,0,0,244.81,0,4.43
 72-82,0,0,1.95,0,12.23,6.22,552.39,0,0,3.04,64.97,1.96,0,14.06,1.21,0,2.8,3.54,1.08,0,40.3,0,0,0,2630.83,0,147.92,4.48,0,1.57,0,0,0,304.32,0.88,1.68,510.73,1.14,5.57
 84-94,0,0,1.01,0,18.63,0,440.11,0,4.65,1.19,55.33,2.06,0,9.97,0,0.69,1.22,4.77,9.62,0,25.91,0,2.23,0,1677.7,0,153.84,0,0,1.42,0,1.09,0,237.73,0,5.79,508.32,1.28,0
 96-106,0,0,0,0,11.63,17.38,394.05,0,1.49,4.4,34.98,4.7,0,8.33,0,0.81,0,1.93,0,0,21.46,0,2.78,5.88,1235.59,0,134.8,3.93,0,2.45,0,0,0,69.21,2.04,0,559.52,2.15,0
108-118,0,0,0,0,21.17,5.59,400.22,0,2.7,4.29,48.47,1.91,2.74,3.78,0,1.74,2.13,2.1,3.03,0.51,28.55,0.77,0,0,1270.44,0,121.11,0.89,0,1.83,0,1.67,0,90.09,1.15,0,456.28,2.28,0
120,0,0,4.32,0,67.25,2.67,563.89,2.29,1.33,2.45,93.35,2.12,0,10.68,0,3.66,6.33,1.19,0,0,41.93,0,0,2,2423.34,0,119.81,2.56,0,4.52,0,2.39,0,106.94,0,0,625.22,7.27,10.22
