stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0.91,29.62,4.86,0,21.35,0,0,0,0.95,1.03,0,0,0,0,0,0,0,0.94,20.42,0,7.79,225.15,6.68,0,3.49,3.37,0,2.43,22.28,0,1.91,14.83,54.97,0,1,0,0
 24-34,0,3.37,0,0,24.82,0,0,0,6.05,0,1.14,0,0,1.68,0,0,0.68,0,29.47,0,2.71,344.21,1.02,1.64,5.19,0,0,0.75,0,0,0,3.41,62.78,0,3.16,0,0
 36-46,0,0.7,0,0,60.16,0,0,0.82,7.39,0,0,0,3.31,0,0,0,0.89,0,16.52,0.86,2.36,238.71,0,1.07,2.83,0,0,11.19,0,0,0,0,44.59,0,5.41,0,0
 48-58,0,6.08,1.97,0,87.08,0,0,0.5,14.6,0,0,1.32,0,0,0,0,0.87,0,24.7,5.5,4.36,210.19,7.84,3.1,0,0,0,0,0,0,0,0,38.04,0,3.72,0,0.54
 60-70,0,0.63,0,0,72.44,0,0,0,11,0,0,0.66,0,0,0,0,0,0,36.92,0.63,0,196.83,8.26,0,0,0,0.84,0,0,0,0,0,36.06,0,0.68,0,1.78
 72-82,0,0,3.22,0,75.1,1.52,1.82,2.52,12.83,0,0,1.68,0.52,0,1.45,1.49,0.62,0,29.76,0,0.54,131.87,0,0.5,0,0,0,2.16,0,0,0,0,19.14,0.89,0,0,0
 84-94,0,3.34,0,0,12.05,0,0.6,0,11.68,0,0,0,3.57,0,0,0,0,0,7.01,2.31,0.93,38.78,0,0,2.01,0,0,4.19,0,0,0,0,0,0,0,1.09,0
 96-106,0,2.3,0,0,23.61,0,6.21,0.63,2.06,0,0,0,0.56,0,1.05,0,0,0,12.6,0,2.89,59.96,0.62,5.35,0.96,0,0,3.35,0,0.89,0,0,1.13,0,3.46,0,0
108-118,0,6.56,1.53,0.55,18.88,0,1.43,0.62,6.25,0.63,0,0,0.64,0.52,0,0,0,0,29.81,0,1.65,55.7,0,0,3.01,0,0,2.35,0,0,0,0,1.4,0,4.18,1.31,0
120,0,5.24,0,0,9.33,0,0,0,25.61,0,0,0,2.3,1.51,0,0,0,0,29.56,0,6.36,130.06,0,1.48,2.3,0,0,3.58,0,0,0,0,1.53,0,8.53,0,0
