stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,94.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,89.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.15,0,0,0,0,0,8.13,0,0,0,0,0,0,0,0
  7-9,41.32,0,0,3.43,0,0,0,0,0,0,0,0,0,11.3,0,0,0,0,0,0,0,0,59.79,114.08,0,0,3.71,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.82,0,41.07,0,4.69,0,26.26,0,0,0,0,0,4.29,0,0,0,0,0,0,0,0,127.96,91.52,0,0,70.8,0,0,10.65,0,0,0,0,0,0,0
 14-21,0,0,0,0,187.27,9.5,0,5.02,0,56.5,0,0,0,0,1.07,0,0,0,27.04,0,0,24.49,59.95,71.58,0,0,0.98,0,13.38,0,53.97,132.09,34.65,0,1.94,0,0
 24-34,0,0,0,0,58.33,0,0,4.68,0,152.4,2.84,1.55,0,0,5.27,0,0,0,116.14,0,0,109,36.6,9.59,0,0,0,0,11.85,0,4.07,24.1,9.7,0,36.76,0,3.29
 36-46,0,0,0,0,20.7,0,0,14.47,0,92.24,10.92,1.91,0,0,1.37,0,0,0.77,243.01,0.87,0,132,24.99,1.29,0,0,0,1.69,21.9,1.34,0,0,5,0,21.22,0,5.54
 48-58,0,0,0,0,27.1,0,0,41.68,0,79.4,13.68,1.44,1.14,0,10.65,0,3.93,0,307.18,0,0,83.39,53.35,0,0,1.39,0,0,8.44,0,0,0,7.29,0,7.93,0.5,21.79
 60-70,0,0,0,0,29.12,0,0,57.9,0,58.88,40.57,0,0,0,2.9,0,0,0,352.54,0,0,49.77,26.16,0.75,0,8.16,0,6.35,0.68,0,0.76,0,6.74,2.11,7.27,5.53,32.14
 72-82,0,0,0,0,6.76,0,0,34.28,1.33,31.38,24.69,2.69,0,0,0.81,0.53,0,0.68,506.72,0,1.07,72.11,49.27,0,1.09,2.85,0,5.76,0,0,0,0,1.14,7.05,9.05,0.52,16.86
 84-94,0,0,1.05,0,8.03,0,0,39.29,0.75,22.85,19.85,0.73,0.93,0,3.39,0,0,0,418.59,0,5.31,60.71,15.18,1.05,0,0.89,0,4.36,5.68,0,0.63,0,1.85,5.69,13.43,7.77,17.19
 96-106,0,0,0.63,0,10.19,0,0,12.07,0,26.83,14.07,0,0,0,3.78,0,0,0,347.28,0,1.96,34,48.58,0,0,5.11,0,11.06,0.63,0,0,0,0,13.42,3.94,0,26.37
108-118,0,0,0.57,0,6.06,0,0,14.52,0,48.35,25.69,1.75,1.01,0,4.22,0,0,0,436.32,0.77,1.75,33.28,17.72,0,0,7.41,0,12.43,4.34,1.63,0,0,1.17,7.18,1.24,0.61,23.97
120,0,0,0,0,14.69,8.61,1.14,21.32,1.06,8.51,1.26,3.67,0,0,0,0,0,0,319.87,0,13.73,35.69,54.86,0,0,8.47,10.96,0,0,0,0,0,0,7.86,2.71,18.42,28.76
