stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,137.91,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,178.08,3186.29,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.13,10.72,0,0,54.84,0,33.05,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.5,97.26,85.85,0,0,270.22,0,0,0,0,0,69.23,0,0,0,0,0,0,0,0,0,0,2031.97,42.46,0,0,660.57,0,3.26,22.02,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.48,57.36,0,0,116.88,0,0,0,0,0,15.58,0,0,0,0,0,0,0,0,0,0,785.39,31.36,0,0,264.68,0,0,0,0,60,0,0,10.64,0,0,0,0,0
 14-21,0,0,1.85,49.45,8.67,22,0,0,0,10.62,1.81,0,0.93,0,1.99,0,0,5.21,18.11,0,0,20.5,294.64,6.34,0.93,4.06,20.93,0,4.11,0.91,81,1.82,0,43.53,60.55,0,0,4.05,0,0
 24-34,0,0,0,5.77,0,27.32,0,1.07,0,0.81,0.74,0,0,0,1.21,0,0.81,0,14.86,0,0,0.66,175.08,1.04,1.64,2.44,0,0,15.67,0,0,6.18,0,2.24,27.29,0,0,0,0,1.12
 36-46,0,0,0,2.32,0,21.67,0,0,0,3.73,0,0,0,0,0,0,0,0,8.31,0,0,0,50.31,0,1.97,0.58,0,0,17.05,0,0,0,1.23,0,10.91,0,0,0,0,0
 48-58,0,0,1.75,4.56,0,34.68,0,1.92,0,2.23,0,0,0,0,0,0,0,0,3.97,0,0,1.42,64.64,4.28,0,0,0,0,10.64,0,0,0,0,0,7.94,0,0,0.56,0,0
 60-70,0,0,0,15.75,0.64,132.18,0,1.94,1.39,13.98,1.59,0,0,0,0,0.67,0,0,17.14,0,0,2.65,124.86,0,0.98,1.71,0,4.51,18.74,0,0,0,0,0,11.31,0,0,3.51,0,0
 72-82,0,0,0,5.75,7.51,76.09,0,0.7,1.2,3.86,0,0,0,0,0,0,0,1.26,30.14,0,0,0.69,47.04,0,0,0,0,0,4.33,0,0,0,0,0,13.12,0,0,0,0.51,0
 84-94,0,0,1.01,4.77,5.4,94.23,0,0,0,0.62,2.28,0,0,2.51,0,0,0,0.96,17.49,3,0,2.09,35.7,0,0.63,0,0,0,26.08,0,0,0,0,0,9.35,0,0,0.62,0,4.85
 96-106,0,0,0,1.77,5.15,48.94,0,1.87,0,7.01,0.7,0,0,0,0,0,0,0,21.58,1.94,0,1.74,27.7,0,3.03,1.68,0,1.17,13.72,0,0,0.69,8.07,0,0,0.66,0,2.32,0,0
108-118,0,0,0,8.44,0.72,93.77,0.56,1.14,1.49,6.8,0,0,1.04,1.24,0.59,0,0.94,0,21.43,0,0.66,2.57,33.83,0.56,2.98,4.69,0,0,10.34,0,0,0,0,0,0,0,1.94,3.84,1.57,0.61
120,0,0,0,0,1.71,62.27,0,1.25,0,5.15,0,0,0,2.88,0,2.62,0,1.1,14.8,0,0,6.41,62.25,0,2.15,0,0,0,6.88,0,0,0,0,0,1.74,0,0,0,0,0
