stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.87,0,0,0,28.73,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.04,0,0,0,10.84,0,0,0,0,0,0,0,0,0,0,0
 14-21,0.83,0.8,0,21.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.73,0,15.65,3.98,0.83,0,2.14,0,0,0,9.48,0,0,0,0,0
 24-34,0,0.8,0,798.18,0,0,0,0,2.27,0,0,0.72,0,0,0,2.15,0,0,1.37,360.87,0,5.66,4.29,0,1.81,0,0,0,1.72,18.32,0,0,1.26,0,0
 36-46,0,4.95,0,4099.99,0,3.79,3.96,0,0,0,2.34,0,0,1.72,0,4.67,0,0,0.58,735.6,6.6,10.4,1.36,0,0,0,0,0,0,26.35,0,0,0.94,0,0
 48-58,0,11.05,0,3887.55,0.58,1.35,28.12,0,0,0.38,0,1.43,4.42,1.93,0.48,17.25,0,8.86,12.01,900.09,5.9,1.32,6.16,0,2.26,0,0.95,0.61,0,49.4,0,0,3.5,0,8.61
 60-70,0,12.88,0,2103.45,0,0.81,5.53,0,0,0,0,0,12.03,0,0,3.59,0,0,0,378.43,0,1.48,0,0,0,0,0,0,0,6.91,0,0,0,0,11.31
 72-82,0,5.39,0.57,588.46,0,1.25,6.87,1.38,0,0,0,0,0,0,0,6.47,1.23,0,0,125.56,0,3.96,2.86,0,0,0,0,0,0,0.92,0,0,0,0,0
 84-94,0,4.72,0,456.34,0,0.64,14.03,3.11,0,2.51,0.71,0,0.7,0,0,2,0,0,0,125.81,0,1.59,0.78,0,2.7,0,1.1,0,0,1.49,1.68,0,0,3.02,9.21
 96-106,0,2.19,0,356.19,1.25,0,0,0,0,0,0,0,0,0.65,0,2.79,0,1.74,0,107.51,0,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,363.55,0,0,2.05,0,0,0,0,0,0,5.94,0,9.45,0,0.65,0,156.35,0,0.42,0.74,0,1.56,0,0,0,0,0,0,0.47,0,0,0
120,0,10.09,2.41,462.51,0,0,28.47,0,0,0,0,0,0,0,0,0,0,0,0,125.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
