stage,erythrocytes,eye,glial,immune,ionocyte,mesenchyme,neural,spinal_cord,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0.99,0
 48-58,0,3.97,0,0,0,0,4.82,0,0
 60-70,0,3.35,0,0,0,0,0,0,0
 72-82,0,36.39,0,1.05,0,0,4.55,0,0
 84-94,0,47.07,0.73,0,0,2.28,0,0,1.02
 96-106,0,58.83,0,3.51,0,0,0,0,0
108-118,1.64,96.05,0,2.78,0,0,2.61,0,0
120,0,5.74,0,11.74,1.45,0,0,0,0
