stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.69,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0.88,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,1.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,57.84,0,0,0,0,0,0,0,0,0,0,0,0,1.8,1.06,0,2.21,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,991.49,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,5.19,0,0,0,0.9,0,0,1.27,0,0,0,0,3.9
 72-82,0,19.16,0.65,3510.67,0,0,2.29,16.27,0,0,0,0,3.21,0,0,2.32,33.61,0,0.99,69.7,0,2.34,0,2.19,0,0,7.28,2.31,0,3.07,0.93,1.76
 84-94,0,15.36,9.2,3997.73,0,0,0,4.39,0,1.1,0,1.33,0.62,0,0,0,20.32,0,1.49,42.39,1.66,0,1.53,3.41,0,0,6.47,0,0,5.33,0,6.69
 96-106,0,18.24,34.5,4702.58,4.29,2.55,6.62,7.19,0.83,0.78,0.87,0,0.66,0.77,17.44,0,36.66,0,4.76,112.02,0,0.82,0,10.16,0,1.49,15.07,0,1.76,9.3,0,17.06
108-118,0,5.06,2.02,3826.11,0,0.42,1.82,18.04,0,0,1.66,2.79,0,0,3.35,0,30.85,3.05,3.95,139.39,0.95,0,4.59,8.87,1.69,0,3.51,0,0,1.14,0,0
120,0,21.13,13.03,5783.89,0,9.42,3.18,5.76,0,0,0,0,0,0,0,0,56.95,0,19.37,170.57,3.94,0,0,3.55,2.04,0,0,0,0,5.94,7.28,2.78
