stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,1195.08,15334.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540.01,0,0,0,0,0,0,0,0,0,0,0
  5-6,495.82,3989.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.02,17.23,0,0,18.61,45.53,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.17,9.19,0,20.23,0,0,0,92.17,0,0,0,0,0,54.45,0,0,0,0,0,0,0,0,0,0,542.57,15.75,0,0,122.53,0,46.61,0,0,0,0,0,0,0,0,0,0
 10-12,4.89,95.23,0,40.83,0,0,0,85.39,0,0,0,0,0,272.11,0,0,0,0,0,0,0,0,0,0,1134.88,152.98,0,0,511.46,0,8.15,0,75.19,0,3.24,3.28,0,0,0,0,0
 14-21,0,0,0,0.93,27.78,3,0,31.34,0,0,0,2.8,0,7.43,0,0,0.81,0,0,0,0,5.68,0,22.53,178.83,8.36,0,1.27,0.97,3.95,0,26.41,0,0,114.91,43.1,0,0,1.06,0,0
 24-34,0,0,0,2.65,17.53,0,0,36.25,0,9.69,0.86,0.89,0.69,2.41,0,0.8,0,0,0,0.86,0,27.41,0,11.56,155.59,12.11,12.61,0.61,0,8.33,0,0,0,0,17.92,51.34,0,0,3.32,0,0
 36-46,0,0,0,0,2.02,0,0,7.55,0,10.66,4.33,1.31,0,0,1.47,0.63,0,0,0,1.07,0,26.07,0,6.01,111.18,2.52,15.52,0,0,3.19,0.81,0,0,0,0,15.44,0,0,0,0,0
 48-58,0,0,0,0,7.99,0,0,33.59,0.84,1.12,2.79,4.61,3.44,0,0,11.99,0,0.77,0.45,0,0,34.82,0,5.87,91.93,20.54,5.8,0,0,4.98,0,0,0,0,0,12.87,0,0,5.86,0,4.71
 60-70,0,0,0,0,3.14,0,0,26.55,0,0.96,4.51,7.11,2.66,0,0,0,0,0.89,3.92,0.74,0,43.29,0,2.05,133.51,0,7.07,1.65,0,8.52,0,0,1.12,0,0,17.73,0,0,0.97,0,0
 72-82,0,0,0,0,3.08,0,0.76,22.71,0,2.54,4.59,11.99,3.55,0,0,0,0,0.9,0,0.82,0.49,40.37,0,7.44,108.96,2.08,2.07,2.74,0,2.87,0,0,0,0,0,12.78,0,0,2.36,0,0
 84-94,0,0,0,0,6.43,1.42,0,11.43,0,0,1.57,6.61,1.47,0,0,4.08,1.46,2.32,1.54,3.21,0,54.19,1.04,6.85,91.38,0,2.95,5.29,0,5.09,0,0,0,0,0,8.38,0,0,6.82,1.2,0
 96-106,0,0,0.94,0,5.15,7.9,2.24,36.42,0,0.61,0.62,20.67,4.8,0,0,1.79,0,0.75,1.08,0,0,64.58,9.13,8.68,79.76,2.12,0.79,0.77,0,15.92,0,0,0,0,0,6.92,1.13,0.67,4.56,0.93,1.21
108-118,0,0,0.62,0,14.57,1.36,5.65,21.63,1.16,0.97,2.97,16.36,3.01,0,0,0.54,2.59,0,2.36,0.81,0,48.23,0,16.06,109.11,0.95,4.32,0.5,0,13.61,0,0,0,0,0,9.89,0,1.49,2.07,0,2.99
120,0,0,0,0,21.51,0,0,38.12,7.22,3.13,2.63,18.7,2.72,0,0,1.23,0,0,0,6.94,0,82.78,0,13.51,108.53,7.13,0,0,0,9.09,0,0,0,1.21,0,4.57,1.06,0,9.46,0,0
