stage,epidermis,erythrocytes,exocrine.pancreas,eye,glial,immune,ionocyte,liver,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,11.87,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.67,0,0,0,0,0.73,0.63,0,2.81,0,0
 36-46,0,0,0,0,0,0,0,5.17,0,1.91,0,0,0,0.94,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,14.83,0,3.15,0,0,0,0,0,0,0,0
 60-70,0,0,0,7.14,0,0,0,5.87,0,1.17,0,0,0,0.76,0,0,0,0
 72-82,0,0,0,6.07,0,0.5,0,19.11,2.37,3.87,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,52.11,7.1,3.03,0,0,0.59,0,0,0,0,0
 96-106,7.96,6.05,0,1.48,1.1,0,0,67.14,1.71,12.08,0,0,0,0,0,0,1.15,0
108-118,0.47,3.25,1.65,15.95,3.53,0,1.24,264.47,0,28.27,1.25,0,2.44,0,0.46,0,0,3.14
120,0,0,0,0,7.92,0,0,173.37,0,21.6,0,0,0,0,0,0,0,1.41
