stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.34,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.85,0,0.86,0,0,0,0,0,1.33,0,0,0,0,0,0,0,0.88,10.8,0,2.06,72.83,0,0,0,0.9,0,0,1.83,0.99,91.38,0,0,0,0,0
 24-34,0,0.67,0,0,0,0,3.15,0,0,0,4.94,0,1.33,0,0,0,0,0,0.95,11.14,0,5.44,512.13,0,11.87,0,0,0,0,0,2.73,309.88,0,0,0,0,0.63
 36-46,0,0,0,0,0,0,21.51,0,0,0.74,10.77,0,0,0,0,0,0,0,0,11.29,0,1.68,833.39,0,5.39,0,0,0,0,0,1.48,321.24,0,0,0,0,0
 48-58,0,0,0,4.64,0,0,83.71,0,0,0.44,44.73,0,1.22,0,0,0,0.44,0,0,8.32,0.75,6.82,1445.77,0,7.48,0,0,0,2.92,0,1.14,266.35,0,0,0,0,2.55
 60-70,0,0,0,6.09,2.56,0,288.2,0,0,0,122.82,0,0,1.31,0,13.15,0.73,0,9.05,21.77,0.69,0,2240.08,0.66,36,1.2,0,2.16,3.71,0,0.71,215.8,0,0.61,4.45,0.89,3.11
 72-82,0,0,0,7.77,7.34,0,710.01,0,0,0.79,125.83,1.98,1.12,0.64,0,0.62,0,0,0,64.19,8.69,1.46,2562.54,0,25.28,4.95,0,0,0,0,0,147.99,0,0,9.48,0,8.18
 84-94,0,0,0,12.88,0.66,0,488.61,0,0,6.06,108.17,0,0,0,0,2.52,0,0,0,50.03,0.6,14.55,1592.54,0,12.75,1.6,0,0,5.96,0,0,117.33,0,0,0,0,0
 96-106,0,0,0,8.73,14.3,0,602.82,0,1,2.33,155.42,0,1.61,0,0,3.99,0,6.38,0,34.25,2.51,0.61,1887.18,0,12.39,1.2,0,0,5.93,0.69,0.56,56.37,0.59,0,0,0.69,11.61
108-118,0,0,0,21.47,0.85,7.66,631.25,0,0.48,0,112.31,0,0.47,0,0.44,1.18,0,0,0.97,63.08,7.67,2.85,1650.04,0,9.29,3.45,0,0,0.49,0,0,50.91,0.89,0,7.74,1.28,0
120,0,0,0,5.63,0,0,523.39,3.47,3.61,16.39,185.28,0,0,4.22,0,0,0,0,0,47.56,13.3,5.94,2843.85,0,1.15,5.44,0,0,2.98,0,0,98.61,0,0,4.73,0,0
