stage,blastomeres,epidermis,eye,glial,gut,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,otic,pericytes,periderm,spinal.cord,taste,vasculature,xanthophores
  5-6,7.93,0,0,0,0,0,0,0,0,11.18,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.86,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,26.68,0,0,0,0,0,0,0,0
 14-21,0,0,1.09,0,0,1.62,0.91,0,1.89,4.82,0,0.94,0,0,1.84,0,0,0
 24-34,0,0,0,0,0,2.58,2.98,0,0,4.11,0,0,0,6.09,3.48,0,0.81,0.95
 36-46,0,0,2.15,0.98,0,0,9.33,0,2.1,4.76,0,0,0,2.84,5.87,0,0,0
 48-58,0,0,1.54,0.92,0,0,0,2.73,0,1.15,0,0,0,0,0,0,0,0
 60-70,0,1.63,0,0,0,0,1.47,0,0,17.29,1.08,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.58,0,0.97,7.27,3.73,0,0,0.79,0,0,0,0
 84-94,0,0,2.03,0,0,0,6.83,0,0,0,0,0,0.6,0,0,0.56,1.46,0
 96-106,0,0.88,0.65,4.25,3.43,0,0,0,1.27,0,0,0,0,1.65,0,0,2.32,0
108-118,0,0,0,0.77,0.47,0.8,0,0,0,0.92,0,0,0,0.41,0,0,0,0
120,0,0,0,5.4,0,0,10.27,0,0,0,0,0,0,1.53,11.49,0,0,0
