stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,ionocyte,mesenchyme,mucous,neural,otic,periderm,spinal_cord,taste
  3-4,9.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,7.41,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,8.88,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.73,0,14.35,0,0
 48-58,0,0,0,2.27,0,0,0,0,0,0,4.3,0,40.85,0.83,0
 60-70,0,0,0,7.93,1.24,0.77,0,0,0,0.74,9.11,0,137.92,1.46,0
 72-82,0,1.7,0,0.77,1.26,0,0,3.55,0.7,2.47,9.28,0,205.1,0,0
 84-94,0,0.67,0.74,5.27,4.03,0,0,6.24,0,1.6,0,0,575.45,0,0
 96-106,0,0.92,2.72,0,7.82,0,0,7.81,1.34,4.89,26.4,0,570.52,0,0
108-118,0,5.78,0,1.75,3.24,5.17,0,7.43,0.96,6.58,21.95,0,409.87,0,0.5
120,0,7.89,0,14.51,9.34,8.68,1.88,2.62,0,12.89,13.24,3.14,776.84,0,0
