stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,8.35,29.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,48.58,0,0,3.95,0,0,6.76,0,0,0,0,0,21.59,0,0,0,0,0,0,0,0,0,12.1,9.24,0,0,4.22,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.9,10.79,0,0,3.12,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.32,0,0.84,1.2,31.83,0,0,0,0,1.07,0,0,0,0,0,0,0.94,28.2,0,5.57,5.44,0.96,0,0,0,0,0,2.9,0,0,2.61,5.26,0,0,0,0,0
 24-34,0,0,0,0,2.06,0,144.23,0,0,11.66,0,0,0,0,0,0,0,0,1.54,172.42,0,60.13,54.68,0,0,0,0,0,2.11,0,0,0,1.51,8.24,0,0,4.43,0,0.63
 36-46,0,0,0,0,0,0,117.81,0,14.75,57.56,0.7,0,0,0,0,0.74,0,0,49.19,402.34,0.55,66.27,84.08,0,0,0,0,0,0,0,0,0,0,4.12,0,0,4.16,0,3.36
 48-58,0,0,0,0,0,0,171.76,0.6,3.55,131.39,2.18,0,0,0.47,0.53,4.78,0,5.51,59.89,389.45,5.49,67.3,50.64,0,0,0,0,0,0,0,0,1.63,0,5.42,0,0,7.27,0,3.22
 60-70,0,0,0,0,3.37,0,127.59,0,2.18,119.38,17.01,0,0,0,8.03,3.56,0.88,5.47,54.3,392.95,6.99,32.77,67.34,0,0,6.36,0,3.85,0,0,0,0,0,5.93,0,0.98,2.43,2.74,0
 72-82,0,0,0,0,1.92,0,107.43,0,0,158.61,15.43,0.67,0,0.86,1.23,4.1,0,0,51.5,520.48,12.53,43.86,46.3,0,0,0,0,4.99,0,0,1.25,0,0,1.08,0,7,8.01,2.31,0
 84-94,0,0,0,0,3.61,0,194.4,0,0,123.73,3.96,0,0,3.62,0,3.18,1.91,0,81.29,430.97,9.06,22.16,31.4,0,0,0,0,0,2.57,0,2.34,0,0,0,0,5.23,8.07,7.04,0
 96-106,0,0,0,0,3.19,10.85,211.02,0,11,121.19,0.57,0.56,0,2.71,4.62,8.06,0.9,0,38.62,392.43,11.24,25.03,64.4,0,1.72,0.87,0,11.31,5.12,0,4.23,0,0,2.34,0,8.55,7,6.01,0
108-118,0,0,0,0,1.8,0.51,262.18,0,1.29,102.86,5.5,0,0,2.74,3.31,19.79,0,0,90.56,447.4,8.04,29.74,50.82,1.77,0.53,0.98,0,9.48,0.46,0,5.33,0,0,0,1.01,7.59,2.81,7,1.89
120,0,0,0,0,24.43,0,215.99,0,1.37,100.27,19.76,0,0,0,6.51,20.28,0,0,29.85,574.01,38.06,17.76,67.56,0,0,0,0,7.11,1.93,0,16.06,0,0,0,0,9.77,7.65,38.16,0
