stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,218.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0
  5-6,7.66,134.81,0,0,0,0,0,0,0,0,0,18.67,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0,15.51,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,9.82,0,0,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0,0,134.39,3.96,0,0,44.3,0,0,4.81,0,0,0,0,0,0,0,0,0
 10-12,0,20.71,10.34,0,0,64.43,0,0,0,0,0,5.16,0,0,0,0,0,0,0,0,0,0,0,212.19,24.06,0,0,77.71,0,0,0,0,10.14,0,0,0,0,0,0,0
 14-21,0,0,2.05,17.3,5.06,5.78,0,0.87,0,3.85,0.85,0,1.3,0,0,0,0,0,8.88,16.96,0,0,16,140.5,6.82,0,0,0.84,0,3.42,0,11.17,2.38,0,7.28,38.64,0,2.15,0,0
 24-34,0,0,0,26.13,3.48,22.71,0,11.04,0.61,16.47,0.89,0,2.84,2.34,0.72,0,0,0,12.95,106.5,0,0,26.27,201.12,5.76,0,1.36,0,0.99,3.49,0,0,0,0,2.2,61.57,0,41.24,0,7.26
 36-46,0,0,0,69.56,1.1,6.22,0,21.28,11.41,5.62,0,0,7.42,0,2.5,0,0,6.8,27.27,170.17,0,1.54,15.03,147.8,12.01,0,0,0,0,10.06,0,0,1.34,0,0,28.5,0,19,0,8.28
 48-58,0,0,0,34.18,0,34.23,0,20.26,16.94,18.83,0,0,5.19,3.37,0,6.82,0,0,14.74,202.61,0,3.01,27.13,153.32,4.3,0,0,0,0,3.51,0,0,0,0,0,19.54,0,14.68,0,14.47
 60-70,0,0,0,97.51,0,29.46,0,22.01,15.57,79.42,0,0,2.38,9.51,0,12.36,0,0.68,7.78,265.59,0,12.82,11.72,81.96,3.71,0,0,0,1.42,7.63,0,0,0,0,0,18.36,4.01,20.37,0.81,31.3
 72-82,0,0,0,24.08,9.87,101.23,5.78,8.58,13.49,36.53,0,0,6.79,4.61,0,4.49,0.84,2.65,4.2,335.48,0,18.07,22.48,93.22,0,0,0,0,6.13,3.74,0,0,0,0,0,12.08,1.41,35.71,11.24,10.08
 84-94,0,0,0,32.74,1.55,74.37,1.9,14.87,1.32,71.36,0,0,9.56,5.92,0,2.58,1.91,1.69,26.86,402.63,0.71,15.54,13.71,99.47,5.03,0,0.87,0,10.8,1.5,0,0,0,0,0,5.45,2.16,45.17,14.95,6.83
 96-106,0,0,0,15.71,0,75.93,0,8.83,1.97,56.38,0,0,3.46,9.25,0,0.91,3.14,1.8,4.67,249.94,0,8.61,22.03,67.62,3.82,0.73,0,0,8.69,11.21,0,0,0,0.84,0,1.32,4.94,38.01,5.86,19.31
108-118,0,0,0,38.97,3.43,124.98,0.46,18.14,15.69,66.71,0,0,0,9.1,1.42,8.98,1.38,1.31,21.58,428.13,0,4.76,19.03,65.83,4.84,0,5.18,0,11.88,2.45,0,0,0,0,0,11.87,3.55,27.13,2.99,21.52
120,0,0,0,66.46,2.39,183.43,0,34.28,24.32,123.67,0,0,0,11.62,3.51,9.78,2.13,9.76,11.09,646.87,0,12.68,23.22,122.67,9.63,1.46,13.32,0,18.82,6.44,0,0,1.83,0,0,2.39,1.54,32.42,31.57,4.37
