stage,fin.epithelia,immune,neural
 48-58,0,5,0
 60-70,0,10.33,0
 72-82,0,9.08,0
 84-94,0,5.95,0
 96-106,1.32,17.28,1.61
108-118,0,16.64,0
120,0,33.19,0
