stage,eye,fin.mesenchyme,glial,heart,lateral.line,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste
  7-9,0,0,0,0,0,0,23.78,0,5.62,0,0,0,0
 10-12,0,0,0,0,0,0,5.07,0,3.42,0,0,0,0
 14-21,0,0,1.75,0,0,0,0,0,0.86,0,1.66,4.54,0
 24-34,0,0,0,0,0,0,0.78,1.24,0,0,0,0.92,0
 36-46,0.63,0,2.41,0,0,0.63,11.21,0,0,0,0,6.96,0
 48-58,0,0,0.76,0,0,0,1.33,0,0,0,0,1.28,0
 60-70,0,0,0,0,0,0,0,1.1,0,0,0,0,0
 72-82,0,0,6.18,0,0,0,0,1.82,0,0,0,4.42,0
 84-94,0,2.12,2.49,0,0,0,0.78,0,0,0,0,2.33,0
 96-106,0,0,1.73,0,0,8.21,0,0,0,1.26,0,0.63,0
108-118,0.94,0,7.54,0.56,0,0,8,9.48,0,0,0,1.98,0.44
120,0,0,3.38,0,3.39,0,0,22.65,0,0,0,0,2.82
