stage,epidermis,erythrocytes,eye,fin_epithelia,glial,mesenchyme,mural_cell,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,0,0,5.11,0,0,0,0,3.82,0,0,5.7,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.67,0,0,0,0,0
 14-21,0.81,0,0.85,0,0,1.41,0,11.32,0,0,0,0,0,0,0,0
 24-34,1.32,0,0,0,0,1.69,0,56.69,0.98,0,0,0,0,10.92,0,0
 36-46,0,0,2.04,0,0,0,0,112.53,0,1.29,0,0,0,15.12,0,0
 48-58,0,0,11.51,2.41,3.19,1.28,0.61,124.02,0,0,0,0,0,10.98,0,0
 60-70,0.67,0,17.09,0,17.26,1.74,0,216.53,0,2.56,0,0,0,17.06,2.57,0.61
 72-82,3.52,0,28.6,0,1.5,3.58,0,277.36,0,7.38,0,0,0,18,0,1.43
 84-94,0,0,16.86,0,2.65,4.51,1.06,224.79,0,1.53,0,1.96,0,2.13,0,4.74
 96-106,0.6,3.97,13.25,0,3.85,4.19,0,192.49,0,4.02,0,0.72,0,4.02,0,0
108-118,3.53,0,11.17,0,4.52,5.45,0,231.61,0,0,0,0,0.94,4.97,0,0
120,0,0,58.44,0,3.38,0,0,542.6,0,0,0,0,0,8.73,0,0
