stage,endoderm,gut,mesenchyme,neural,paraxial.mesoderm,periderm,spinal.cord
  5-6,0,0,0,32.42,0,0,0
  7-9,0,0,0,0,8.3,0,0
 10-12,0,0,0,6.93,0,0,0
 24-34,0,0,0,0,0,0,1.88
 48-58,0,0,0,0,0,0,1.23
 60-70,0,0.66,0,0,0,0,0
 72-82,0,5.69,0.79,1.52,0,0,0
 84-94,0,4.98,0,0,0,0,0
 96-106,0,31.6,0,1.41,0,0,0
108-118,0,55.22,2.56,4.5,0,1.43,0
120,3.17,92.83,0,2.43,0,0,0
