stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.67,141.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.8,121.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.14,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,10.36,0,0,0,0,0,0,0,0,60.77,7.1,0,12.04,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.44,0,0,10.65,0,3.07,4.8,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.06,1.05,0,0.87,0,0,0,0,0.85,0,0,0,0,0,0,1.11,0,8.3,0,0,0,0,0,0,4.13,0,0,5.12,0,0
 24-34,0,0,0,0,0,0,0.68,0,0,0,0,0,6.4,0,0,0,0,1.61,0,3.09,0,0,0,0,1.98,2.11,0,0,1.65,0,0,1.67,0,0
 36-46,0,0,0,0,0,0,0,1.33,0.67,0,0,0,5.58,0,0,0,2.15,0,0,0,5.42,0,0,0,0,0,0,0,0.72,0,0,0.81,0,0
 48-58,0,0,0,0,0.6,0,0,2.17,13.73,0,0,0,2.95,0,0,0,8.86,1.33,0,0,12.25,0,0,0,0,0,0,0,2.31,0,0,2.29,0,0
 60-70,0,0,0,0,4.95,0,0,15.02,5.77,0,0,0,0,0,0,0,0,3.98,0,2.96,13.33,0,0.96,0,4.03,0,0,0,0,0,2.66,9.1,0,0
 72-82,0,0,0.78,0.51,2.34,0,4.58,2.17,15.58,0,10.8,0,0,0,0,0,0,32.68,1.39,11,21.65,0,0,0,0,0.52,0,0,0,0,0.56,5.1,3.58,0
 84-94,0,0,1.44,0,0.74,0,2.75,11.99,16.52,0,15.14,0,0,0,0,0,1.51,14.66,0.95,1.34,14.33,0,0,0,2.68,0.7,0,0.67,0,1.53,0,0,1.44,0
 96-106,0,0,0,1.46,4.28,0,13.28,18.22,2.85,1.99,45.77,0,0,0,0,0.76,16.52,55.08,1.68,0,37.68,0,2.23,0,3.24,15.01,1.35,0,0,0,0,12.15,5.12,0
108-118,0,0,0,3.98,3.87,1.51,10.27,25.18,7.82,0,58.45,0,0,0.51,2.1,8.18,3.94,36.58,0,0.92,43.69,0,1.12,0,9.79,5.15,0,0,3.79,0,2.27,11.73,1.82,0.85
120,0,0,0,3.83,0,0,14.59,22.74,11.76,0,46.08,0,5.85,0,0,12.36,1.64,52.51,1.26,2.2,90.32,0,0,0,0,9.58,0,0,6.99,0,3.24,12.45,4.69,0
