stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,0,142.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0,0,0
  5-6,0,126.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,99.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,568.7,0,0,6.33,0,0,0.87,0,0,0,0,11.61,0,0,1,6.21,0,0,1.67,0,1.25,0,0,0,1.01,0,0,0
 24-34,0,0,0,342.17,0,0,1.68,0.71,0,0,3.11,0,2,0,4.55,3.84,0,35.89,32.07,0,0,0,0,0.99,0,0,0.61,3.51,0,0,0
 36-46,0,0,2.12,179.18,0,0,8.84,0,0,0,0.86,0,0,0,41.42,3.54,0,129.91,26.38,0.59,0,0,0,0,1.61,0,0,4.04,0,0,0
 48-58,0,0,0,179.42,0,0,8.42,0.57,6.64,3.28,0,0,0,3.53,120.84,0,0,107.15,29.83,0,0,0,0,0,0,0,0,0.81,0,0,0
 60-70,0,0,0,160.41,0,0,0.63,0,0,0,0,0,0,0,54.74,0,0,40.76,16.16,0,0,0,0,3.45,0,0,0,0,0,0,0
 72-82,0,0,0,163.77,0,0,13.02,0,0,1.24,1.31,0,5.64,0,118.07,2.88,0,49.35,14.34,2.54,0,0,0,0,0,0,0,0,6.11,0,0.84
 84-94,0,0,0,316.34,0,0,15.34,0.55,0,2.32,3.88,0,6.46,0,67.49,0,2.67,33.54,40.2,0,1.03,0,0,3.61,0,0,0,0,12.32,0,0
 96-106,0,0,0,407.77,15.37,0,11.57,2.73,0,2.88,7.9,0.59,22.77,0.58,127.71,3.46,0.97,30.51,45.43,0,0,0,0,11.7,0,0,0,7.42,62.24,0,0
108-118,1.5,0,0,302.95,13.44,0.96,15.46,0,0,2.52,11.22,0,13.66,1.25,183.57,4.94,0,42.29,34.66,0.45,0,0,1.57,2.1,0,2.63,0,0,43.07,7.09,0
120,0,0,0,230.73,5.85,0,20.67,10.63,18.66,3.05,1.19,0,15,0,78.74,6.23,0,15.21,44.39,0,3.34,0,0,0,0,0,0,0,17.91,0,0
