stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,immune,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,0,65.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,95.84,0,0,0,0,0,0,0,0,23.03,0,15.53,0,0,0,0,0,0,0
  7-9,11.35,0,16.56,0,0,0,0,0,0,0,111.76,8.09,117.92,0,0,0,0,0,0,0
 10-12,0,11.83,14.06,0,0,0,0,0,0,0,86.43,9.35,331.16,0,4.36,19.84,0,5.78,0,0
 14-21,0,0,0,0.91,0,0,0,0,0,4.43,3.52,6.31,3.64,0,65.63,0,1.16,69.32,4.09,0
 24-34,0,0,0,0,0,0,0,0,0,0.62,2.97,0,0,0,0,0,0,11.7,1.08,0
 36-46,0,0,0,0,0,0.72,0,0,0,0.72,0.74,0,0,0,0,0,0,0,2.51,0
 48-58,0,0,0,0,0.68,0,0.66,0,0.7,0,2.36,0,0,2.19,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,4.66,0,0,0,0,0,0,0,0,0,2.39,0
 72-82,0,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.02
 84-94,0,0,0,0.69,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.48,0,1.94,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,3.35,0,0,0,4.38,0,5,0,0,1.17,0,0,0,0,0,1.37
120,0,0,0,0,0,0,0,1.75,6.55,0,0,0,0,0,0,0,0,0,0,0
