stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,32.16,0,0,0,16.14,0,0,0,0,0,0,0
 14-21,13.52,0,0,0,0,0,0,0.97,0,0.83,2.26,5.21,0,0,0,0,1.01,0,2.76,1.69,0,1.01
 24-34,3.64,0,1.23,0,0,0,2.16,5.38,0,1.38,0,0.84,0,0,0,0,0,0.66,0,0,0,0.73
 36-46,0,0,1.64,0,0,0,0.69,4.32,0,1.75,6.96,0,0,0,0,0,0,0,0,0.9,0,0
 48-58,1.18,0,9.8,0.49,0,0,0,12.31,0,1.13,7.8,0,0,0,0,0,0,0,0,0,0,0
 60-70,0.72,0,2.33,0,0,0,0,12.84,0,0,8.06,0.75,0,0,0,4.14,0,0,0,0,0.63,0
 72-82,1.79,1.36,5.94,0,0,0,0,9.28,0,0,16.69,0,0,0,0,0,0,0,0,2.32,1.21,0
 84-94,2.93,0,10.9,0,0,0,0,17.01,1.6,2.8,4.31,0,0,0.7,0,0,0,0,0,0,0,0
 96-106,0.67,0,10.09,0,0,3.72,0,33.9,0,2.44,9.67,0,0.74,0,0,0,0,0,0,0,0,2.08
108-118,3.59,0,15.59,0,0.73,8.91,0,16.12,0,0,3.33,0.48,0,0,0,1.83,0,0,0,0,0,0.49
120,1.08,0,56.27,0,0,0,0,42.47,0,0,11.17,0,4.59,0,0,0,0,0,0,0,0,0
