stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,45.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,27.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.81,0,0,0,0,0,0,0,0,0,0,0,13.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,20.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.87,0,0,0,5.72,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.86,0,0,525.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.56,0,0,0,0,0,1.22,0.98,0,0,0.89,0,0,0,0,0
 24-34,0,0,0,0,0,0,918.18,0,0.7,0,1.87,0,0,0,0,0,0,0,2.05,3.35,1.47,0,0,0,42.78,0,0,0,0,0,0,0,0,2.25,0.87,0,0,1.82,0,0
 36-46,0,0,0,1.65,0,0,911.76,0,0,0,1.24,0,0,0,0,0,0,0,0,0,2.35,0,0,0,33.41,0,1.17,0,0,0,0,0,0,1.38,3.8,0,0,0,0,0
 48-58,0,0,0,2.01,0,0,1922.96,0,0,0,334.86,1.26,0,0,0,0,0,0,0,7.08,6.66,0.41,2.52,1.14,131.8,0,0,0.62,0,0,0.99,0,0,0,25.25,0,0,3.84,0,2.85
 60-70,2.52,0,0,11.43,0,0,4243.25,0,0,0,5008.62,0,0,0.69,6.48,0,0,0,4.39,0,28,0,0,0.8,208.99,6.27,0,0,0,0,5.35,0,0,0,18.43,0,0,1.06,2.44,9.38
 72-82,0,0,4.47,4.63,2.39,0,3300.55,0,6.24,0.56,7604.45,2.53,0,1.91,6.82,17.31,3.77,0,0.96,0,53.18,0,40.2,5.03,332.08,0,1.35,4.04,0,14.43,1.84,0,0.53,0,23.56,0,0.89,8.08,7.4,0
 84-94,0,0,0,34.87,6.97,0,3592.81,0,14.09,85.48,6414.1,0,0,0,5.8,0,0,4.75,4.81,0,53.22,0,2.95,1.47,301.74,0,0.56,0.88,0,0,9.65,0,0,0,23.36,0,0,21.93,9.16,15.35
 96-106,0,0,0,33.54,23.83,1.77,3465.54,0,2.15,8.87,9265.46,5.25,0,0,5.56,0.73,0.89,0,37.33,0,77.77,0,1.14,2.3,355.47,0,6.2,2.56,0,2.63,28.78,0,0,0,7.17,0,1.05,12.91,9.6,0
108-118,0,0,0,33.03,9.85,0,2494.57,0.5,6.41,0,7504.46,4.71,0,0,1.19,1.1,2.49,0,54.72,0,63.48,0,1.03,6.56,557.52,0,1.95,4.33,0,2.06,9.42,0,0,0,5.43,1.26,2.43,3.7,2.27,0.41
120,0,0,0,37.66,0,0,1887.73,0,2.36,0,4394.61,11.1,0,0,12.08,0,0,8.28,4.86,0,37.86,0,2.47,4.15,418.16,2.8,0,2.87,0,0,4.89,0,0,0,24.21,0,0,0,0,0
