stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  5-6,6.06,22.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.21,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,42,17.01,10.83,0,0,0.83,0,0,0,3.02,0,0,3.42,0,0,0,0,0,0.94,0,0,0,11.93,0,0,2.63,0,0,0.9,0,0,320.28,77.5,9.56,0,0,0,0
 24-34,0,0,36.6,3.8,54.3,1.41,0,9.58,513.4,3.17,1.41,0.64,0,0,1.21,0,0.83,0.78,0.66,4.19,33.37,0.62,0.82,85.84,232.09,0,3.66,1.65,0,27.71,0,3.11,0,709.15,238.56,53.29,0,0,8.33,8.97
 36-46,0,0,5.66,0,78.18,0,0,14.69,878.4,12.97,0,14.37,0,0,0,0,0,0,0,3.56,19.8,0.61,0,58.12,167.55,0,2.02,0,0,10.66,0,0,0,673.23,10.26,47.87,0,0,6.64,2.32
 48-58,0,0,1.37,0,83.19,1.62,0,58.94,594.16,5.15,3.83,24.56,0,0,0,0,6.55,0,0.7,13.91,35,0.81,0.95,34.2,222.22,0.56,1.94,0,0,7.39,0,0,0.42,499.93,0,43.39,0,0,2.4,10.88
 60-70,0,0,0.82,0,43.99,0,0,65.1,248.71,15.21,0,14.46,0.63,0,0.61,0,14.68,0.77,0.81,0,11.67,3.94,0,26.24,121.53,2.55,1.23,5.81,0.81,6.62,0,0,0,239.41,0,8.24,0,0,1.77,23.12
 72-82,0,0,35.2,0,34,2.14,0,53.15,112.38,5.27,0,6.99,9.37,0,1.03,0,0,0,10.1,3.31,25.58,1.41,0,15.33,70.96,0,0,2.06,0,2.56,0,0,0,56.17,0,8.63,0,0,0,18.21
 84-94,0,0,36.4,0,59.81,15.14,0,58.37,192.04,1.92,0.7,12.54,4.09,0,1.33,1.69,0,6.89,0,0,27.77,0.57,4.04,11.53,69.18,0,0.9,0,0,4.85,0,0,0,107.12,0,0,0,2.16,0.55,6.65
 96-106,0,0,16.12,0,53.33,23.52,1,108.78,308.42,1.22,0,26.85,15.84,1.3,1.34,0,8.61,0.71,8.6,0,44.41,4.59,1.86,30.65,116.15,0,0,2.03,0,22.77,0,0,0,112.25,0,0,5.51,0,13.12,8.89
108-118,0,0,12.04,0.74,67.21,2.96,1.13,60.39,201.56,4.38,3.26,10.03,12.15,1.04,2.14,0,0,0,3,0,32.89,0,0,31.22,102.22,0,1.4,0.82,0,16.45,0,0,0,44.1,0,2.47,0,0,4.25,0
120,0,0,2.94,0,61.52,16.45,0,28.4,159.03,5.24,0,0,4,0,0,0,0,1.62,0,0,21.65,1.16,0,22.29,75.58,0,0,0,0,1,0,2.24,0,21.92,0,4.72,0,0,0,0
