stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,0,155.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.44,240.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.98,0,0,0,6.91,16.21,0,0,0,0,0,0
  7-9,0,28.8,5.12,0,0,5.56,0,0,0,0,0,16.47,0,0,0,0,0,0,0,0,0,192.96,0,0,0,28.78,0,0,0,0,0,0,0
 10-12,0,3.59,12.07,0,0,4.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.97,0,0,0,71.56,4.24,0,9.08,0,5.88,0,0
 14-21,0,0,0,0.89,0.94,0.88,0,0,0,1.95,0,0,0,0,0,0,0,3.04,0,0,1.98,95.14,0.94,0,0,1.67,7.89,0.96,0,4.44,23.29,0,0
 24-34,0,0,0,4.18,0,24.88,0,0,0,2.87,0,0,1.32,0,0,0,1.07,19.16,0,0,4.23,247.02,0,2.24,2.54,0,5.81,0,0,1.35,50.73,8.55,1.49
 36-46,0,0,0,0,0,40.93,0,10.54,0,6.94,0,0,0,0,0,0,0.57,27.93,0,2.74,3.35,139.69,0,1.78,0,0,0,0,0,0,26.52,0.82,0
 48-58,0,0,0,0.37,0,37.9,0,0,0,3.93,0,0,0,0,0,0,0,19.02,0.63,0.41,1.58,62.73,0,0,0.59,0,0,0,0,0,14.33,1.62,0
 60-70,0,0,0,2.88,0,64.26,0,10.7,0,3.6,0,0,0,0,0,0,1.39,22.57,0,0,0.77,82.28,1.83,0,1.82,0,0,0,0,0,5.9,0,0
 72-82,0,0,0,0,0,16.8,0,0,1.05,4.29,0.6,0,0,0,0.93,0,0.61,7.6,0,0,4.45,21.27,0,0,0,0,0,0,0,0,0,2.05,0
 84-94,0,0,0,3.51,0,19.76,0,0,0,4.81,1.43,0,0,0,0,0,0,10.17,0,1.93,1.62,31.79,0,0,0.97,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.71,0,9.83,0,0,0,4.99,0.66,0,0,0,0,0.92,0,10.06,0,0,1.9,21.03,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2,0,20.82,0,0,0,2.13,0.43,0,1.61,0,0.44,0,0,3.05,0,6.25,0,20.94,1.51,0.54,3.27,0,1.72,0,0,0,2.39,2.62,0
120,0,0,0,0,0,7.89,8,0,0,0,0,0,0,2.13,0,0,0,0,0,0,0,27.41,0,0,0,0,0,0,0,0,0,0,0
