stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,12.58,0,0,5.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.51,0,0,3.25,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,4.47,0,0,0,0,0,0,0,0,9.53,0,0,0,0,0,0,0,0,160.78,0,0,4.76,0,0,0,9.42,0,0,0,0,0,0,0
 14-21,0,0,0,0.81,3.33,0,0,0,0,47.91,0,0,0,1.72,0,0,0,2.42,0,0,30.82,0,15.45,0,0,0,0.91,35.55,0,0,154.29,0,2.12,0,0
 24-34,0,0,0.59,3.4,0,0.62,0,0,0.83,81.95,0,0,1.02,1.38,0,0.96,0,6.27,0,0,68.75,11.52,4.85,0,0,0,0,16.64,1.59,1.64,141.85,0,34.07,0,1.55
 36-46,0,0,0,3.81,0,1.24,0,0,0,49.54,0,0,0,1.74,0,0,10.36,0.82,0,0,66.88,18.63,1.49,0,0,12.4,0,23.35,0,0,157.12,0,26.37,0,0.57
 48-58,0,0,0,0,0,2.03,0,0,0.39,59.25,0,0,0,0.83,0,1.4,7.91,1.57,0,0,76.4,13.56,16.26,0,0,0,0,6.96,0,0,89.61,0,3.82,0,9.98
 60-70,0,0,0,0,0,8.37,0,0,0,47.37,0,0,0,0,6.56,7.28,0.71,2.56,0,0,73.33,22.25,7.97,0,2.16,0,0,3.4,0,0,18.89,1.84,7.2,0,12.56
 72-82,0,0,0,0,6.98,12.96,0,0,0,31.74,0.7,0,0.98,0,0,3.93,0,7.84,0,1.1,50.84,25.52,11.08,0,0,0,0,2.42,0.53,0,6.07,1.08,32.34,0,0
 84-94,0,0,1.75,0,1.47,5.72,0,0,0,44.96,0.71,0,0,2.06,0,5.15,0,17.67,0,0,26.82,22.8,23.42,0,0,0,0,8.89,0,0,33.18,0,29.17,0,2.06
 96-106,0,2.51,0,2.66,1.68,1.46,0,0,0,34.74,2.2,0,0,0,1.25,21.34,0,2.11,0,0,44.68,42,24.73,0,0,0.68,0,1.47,0,0,15.25,0,20.81,0,3.78
108-118,0,4.9,0,3.53,0,3.07,0.51,0,0,24.65,0,0,0,2.61,1.1,6.95,4.04,4.21,4.08,1.08,48.99,23.6,18.24,0,0,1.23,0,3.86,0,0,11.03,0,24.13,0,11.65
120,0,0,3.17,0,0,13.16,0,2.08,0,15.46,0,0,0,0,0,11.57,0,18.24,0,0,44.99,13.87,56.74,0,0,0,0,14.02,0,0,13.37,0,65,18.94,4.65
