stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.7,2022.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.31,0,0,0,0,0,0,0,0,0,0
  5-6,74.56,474.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.64,0,0,0,0,0,19.84,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.35,0,0,0,23.1,0,0,15.61,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.95,0,0,0,5.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.9,0,0,0,57.53,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.2,0.81,0,4.06,0,0,0,2.32,0,0,0,0.81,0,0,0,0,2.21,0,0,7.39,26.64,0,0,0,0,0,10.13,0,3.04,0,9.49,79.72,0,0,1.18,0,0
 24-34,0,0,0,0,6.85,0,0,11.84,0,0,0,5.4,0,0,0,3.77,0,0,9.71,4.2,11.15,1.09,0,13.86,281.21,0,0,0.98,0,0,67.82,0,0,0.61,1.4,409.19,0,0,0,0,0
 36-46,0,0,0,0,20.78,1.5,0,41.37,0,0,1.24,9.49,0,0,0,3.48,0,0,0,23.44,25.32,0,0,6.58,449.22,0,4.1,0.59,0,0,127.56,0,0,0,0,691.21,0,0,0.69,0,0
 48-58,0,0,0,0,7.53,0,0,217.23,0,0.85,1.89,17.89,0,1.83,0.57,0.75,0,0.44,0,12.89,27.68,0,0,1.8,548.45,0,0,9.5,0,0,67.23,0,0,0,0,541.71,0,0,0,0,2.48
 60-70,0,0,0,0,20.09,0,0,375.98,0,4.32,1.89,45.8,0,0,1.86,3.39,0,0,0,6.38,56.95,0,2.69,5.13,973.66,6.52,0,0.63,0,0,77.71,0,0,0,0,376.38,0.81,0,0,0,0
 72-82,0,0,0,0,10.01,0.75,0,427.03,4.16,2.2,1.45,60.62,0,0,0.5,4.5,1.19,2.33,0.54,10.84,66.85,0,0.96,8.04,937.66,0,1.39,7.68,0,1.4,38.36,0,0,0,0,152,1.87,1.45,0,0.53,19.85
 84-94,0,0,0,1.04,31.71,4.59,0,401.7,1.38,1.43,6.73,39.68,2.65,0,0,20.48,0,1.41,0,5.54,68.73,0,8.02,3.11,526.27,0,0,6.34,0,2.48,132.72,0,0,0,0,128.18,0,0.88,0.83,5.58,0
 96-106,0,0,0,0,47.17,3.75,0,524.33,0,10.48,1.4,38.29,1.76,1.16,2.46,12.65,0.75,1.89,0,5.57,50.37,1.39,0,11.3,533.47,0,0,2.96,0,0,102.86,0,0,0,0,69.36,2.99,0.88,0,5,1.37
108-118,0,0,3.38,0,42.69,3.86,1.08,409.6,0,1.75,6.52,44.33,0,0,2.65,11.52,1.96,2.32,1.43,10.61,48.71,1.28,6.03,6.1,709.18,0,0,7.22,0,2.52,96.05,0,0,0,0,38.48,0.43,7.21,0,7.56,1.05
120,0,0,0,0,52.6,7.26,0,333.03,0,1.75,10.32,54.57,0,0,8.53,5.38,0,8.56,0,0,123.97,0,0,2.92,1248.57,0,2,15.59,0,0,77.34,0,0,0,0,7.42,0,0,0,0,13.79
