stage,axial,blastomeres,epidermis,eye,glial,gut,immune,lateral_line,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,taste
  3-4,0,59.29,0,0,0,0,0,0,0,0,0,0,140.71,0,0
  5-6,7.04,107.49,0,0,0,0,0,0,0,0,0,0,1004.65,0,0
  7-9,4.39,6.89,0,0,0,0,0,0,0,51.78,0,9.07,203.67,0,0
 10-12,0,0,0,0,0,0,0,0,0,24.8,0,24.31,33.96,0,0
 14-21,0,0,0,0,0,0,0,0,2.29,6.52,0,0,25.26,0,0
 24-34,0,0,0,0.95,0,0,0,0,0,2.51,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,3.13,0,0,0,1.33,0
 48-58,0,0,0,0.67,0,0,0,0,0,3.98,0,0,0,1.41,0
 60-70,0,0,0,0,0,1.05,0,2.2,0,0.99,2.51,0,2.2,0,0
 72-82,0,0,0,2.74,0,1.44,0.52,0,0,0,2.88,0,0,0,0
 84-94,0,0,0,5.59,0,11.39,0.59,0,0,1.4,3.28,0,4.18,0,0
 96-106,0,0,0,0,1.4,3.69,0.7,0,0.96,0,8.98,0,0.74,0,0.83
108-118,0,0,2.11,0,1.1,0.99,0,0,0,0,4.44,0,0.96,1.3,1.3
120,0,0,8.48,1.83,0,1.02,0,0,0,0,0,0,3.63,0,0
