stage,blastomeres,erythrocytes,eye,glial,immune,neural,notochord,paraxial_mesoderm,pronephros,spinal_cord
  5-6,32.67,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,20.38,15.22,11.44,0,0
 10-12,0,9.23,4.79,0,0,32.15,0,25.13,7.65,0
 14-21,0,0,0,0,0,2.36,0,0,0,1.82
 24-34,0,0,5.72,0,0,1.59,0,0,0,1.47
 36-46,0,0,7.25,0,0,12.45,0,0,0,1.41
 48-58,0,0,5.33,0,0,31.48,0,0,0,0
 60-70,0,0,42.01,3.35,0,31.53,0,0,0,1.65
 72-82,0,0,41.53,5.04,0,57.16,0,0,0,0.75
 84-94,0,0,84.44,4.74,0,76.22,0,0,0,0
 96-106,0,0,45.42,0,0,35.88,0,0,0,0
108-118,0,0,47.33,10.03,0.7,35.86,0,0,0,0
120,0,0,69.72,0,0,72.25,0,0,0,0
